"unom";"source";"result";"postal_code";"country";"region_fias_id";"region_kladr_id";"region_with_type";"region_type";"region_type_full";"region";"area_fias_id";"area_kladr_id";"area_with_type";"area_type";"area_type_full";"area";"city_fias_id";"city_kladr_id";"city_with_type";"city_type";"city_type_full";"city";"city_area";"city_district_fias_id";"city_district_kladr_id";"city_district_with_type";"city_district_type";"city_district_type_full";"city_district";"settlement_fias_id";"settlement_kladr_id";"settlement_with_type";"settlement_type";"settlement_type_full";"settlement";"street_fias_id";"street_kladr_id";"street_with_type";"street_type";"street_type_full";"street";"house_fias_id";"house_kladr_id";"house_type";"house_type_full";"house";"block_type";"block_type_full";"block";"flat_type";"flat_type_full";"flat";"flat_area";"square_meter_price";"flat_price";"postal_box";"fias_id";"fias_code";"fias_level";"fias_actuality_state";"kladr_id";"capital_marker";"okato";"oktmo";"tax_office";"tax_office_legal";"timezone";"geo_lat";"geo_lon";"beltway_hit";"beltway_distance";"qc_geo";"qc_complete";"qc_house";"qc";"unparsed_parts";"metro"
"29";"город Москва, Абрамцевская улица, дом 2, корпус 2";"г Москва, ул Абрамцевская, д 2 к 2";"127576";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"3bc0c28b-d149-4fe2-8b72-e8447cd5e697";"7700000000007080072";"д";"дом";"2";"к";"корпус";"2";"";"";"";"";"181777";"";"";"3bc0c28b-d149-4fe2-8b72-e8447cd5e697";"77000000000000007080072";"8";"0";"7700000000007080072";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.8923431";"37.5761831";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.0, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 1.9, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 3.4, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"31";"город Москва, Абрамцевская улица, дом 3Б";"г Москва, ул Абрамцевская, д 3Б";"127576";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"a2e9201e-8de8-463a-993f-04c809067e82";"7700000000007080075";"д";"дом";"3Б";"";"";"";"";"";"";"";"171727";"";"";"a2e9201e-8de8-463a-993f-04c809067e82";"77000000000000007080075";"8";"0";"7700000000007080075";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.8952719";"37.5719865";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.0, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.3, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 3.5, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"35";"город Москва, Абрамцевская улица, дом 5";"г Москва, ул Абрамцевская, д 5";"127576";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"55651175-1c51-4e45-97fc-fa3d5abfdeba";"7700000000007080083";"д";"дом";"5";"";"";"";"";"";"";"";"177112";"";"";"55651175-1c51-4e45-97fc-fa3d5abfdeba";"77000000000000007080083";"8";"0";"7700000000007080083";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.8968932";"37.5732494";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.9, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.4, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 3.7, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"36";"город Москва, Абрамцевская улица, дом 6";"г Москва, ул Абрамцевская, д 6";"127576";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"ac465575-9df2-484d-ac83-d8bc1dff7f2c";"7700000000007080002";"д";"дом";"6";"";"";"";"";"";"";"";"167112";"";"";"ac465575-9df2-484d-ac83-d8bc1dff7f2c";"77000000000000007080002";"8";"0";"7700000000007080002";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.8938202";"37.5742987";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.0, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.1, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 3.5, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"42";"город Москва, Абрамцевская улица, дом 12";"г Москва, ул Абрамцевская, д 12";"127576";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"8f3b2da2-1b0e-405b-9b55-7208ee2dbd86";"7700000000007080008";"д";"дом";"12";"";"";"";"";"";"";"";"185397";"";"";"8f3b2da2-1b0e-405b-9b55-7208ee2dbd86";"77000000000000007080008";"8";"0";"7700000000007080008";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.896919";"37.5742877";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.8, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.3, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 3.8, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"44";"город Москва, Абрамцевская улица, дом 14, корпус 1";"г Москва, ул Абрамцевская, д 14 к 1";"127572";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"8f045b36-e5ca-41b2-bdc6-4dd2b20cb90e";"7700000000007080033";"д";"дом";"14";"к";"корпус";"1";"";"";"";"";"";"";"";"8f045b36-e5ca-41b2-bdc6-4dd2b20cb90e";"77000000000000007080033";"8";"0";"7700000000007080033";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.9010504";"37.5748697";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.8, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.6, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 4.2, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"47";"город Москва, Абрамцевская улица, дом 20";"г Москва, ул Абрамцевская, д 20";"127572";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"2c176053-5a1f-4dc4-90a4-427fe88e5751";"7700000000007080053";"д";"дом";"20";"";"";"";"";"";"";"";"187671";"";"";"2c176053-5a1f-4dc4-90a4-427fe88e5751";"77000000000000007080053";"8";"0";"7700000000007080053";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.9033244";"37.5747794";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.9, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.8, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 4.4, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"48";"город Москва, Абрамцевская улица, дом 22";"г Москва, ул Абрамцевская, д 22";"127572";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"e8fe06e8-b520-4233-87a9-95e0bd98c5a0";"7700000000007080054";"д";"дом";"22";"";"";"";"";"";"";"";"155140";"";"";"e8fe06e8-b520-4233-87a9-95e0bd98c5a0";"77000000000000007080054";"8";"0";"7700000000007080054";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.903637";"37.5756687";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.8, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 2.8, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 4.5, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"52";"город Москва, Абрамцевская улица, дом 15, корпус 1";"г Москва, ул Абрамцевская, д 15 к 1";"127572";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"c21f915e-308b-48fe-b262-2a54a1a73ff9";"7700000000007080042";"д";"дом";"15";"к";"корпус";"1";"";"";"";"6542.3";"";"";"";"c21f915e-308b-48fe-b262-2a54a1a73ff9";"77000000000000007080042";"8";"0";"7700000000007080042";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.9067192";"37.5715402";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.3, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 3.2, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 4.7, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
"53";"город Москва, Абрамцевская улица, дом 15, корпус 2";"г Москва, ул Абрамцевская, д 15 к 2";"127572";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Лианозово";"р-н";"район";"Лианозово";"";"";"";"";"";"";"bc46ef75-670c-48df-bf76-5ce12085f1a5";"77000000000070800";"ул Абрамцевская";"ул";"улица";"Абрамцевская";"a397501d-3b39-4783-9287-b7d6923c6661";"7700000000007080043";"д";"дом";"15";"к";"корпус";"2";"";"";"";"6582.0";"";"";"";"a397501d-3b39-4783-9287-b7d6923c6661";"77000000000000007080043";"8";"0";"7700000000007080043";"0";"45280563000";"45354000";"7715";"7715";"UTC+3";"55.9060982";"37.5724008";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 1.2, 'line': 'Серпуховско-Тимирязевская', 'name': 'Алтуфьево'}, {'distance': 3.1, 'line': 'Серпуховско-Тимирязевская', 'name': 'Бибирево'}, {'distance': 4.7, 'line': 'Люблинско-Дмитровская', 'name': 'Селигерская'}]"
