"unom";"source";"result";"postal_code";"country";"region_fias_id";"region_kladr_id";"region_with_type";"region_type";"region_type_full";"region";"area_fias_id";"area_kladr_id";"area_with_type";"area_type";"area_type_full";"area";"city_fias_id";"city_kladr_id";"city_with_type";"city_type";"city_type_full";"city";"city_area";"city_district_fias_id";"city_district_kladr_id";"city_district_with_type";"city_district_type";"city_district_type_full";"city_district";"settlement_fias_id";"settlement_kladr_id";"settlement_with_type";"settlement_type";"settlement_type_full";"settlement";"street_fias_id";"street_kladr_id";"street_with_type";"street_type";"street_type_full";"street";"house_fias_id";"house_kladr_id";"house_type";"house_type_full";"house";"block_type";"block_type_full";"block";"flat_type";"flat_type_full";"flat";"flat_area";"square_meter_price";"flat_price";"postal_box";"fias_id";"fias_code";"fias_level";"fias_actuality_state";"kladr_id";"capital_marker";"okato";"oktmo";"tax_office";"tax_office_legal";"timezone";"geo_lat";"geo_lon";"beltway_hit";"beltway_distance";"qc_geo";"qc_complete";"qc_house";"qc";"unparsed_parts";"metro" 
"772";"город Москва, улица Генерала Антонова, дом 3";"г Москва, ул Генерала Антонова, д 3";"117342";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-западный";"";"";"р-н Коньково";"р-н";"район";"Коньково";"";"";"";"";"";"";"5c0ba867-464d-485f-88bb-73d97c4dde46";"77000000000075500";"ул Генерала Антонова";"ул";"улица";"Генерала Антонова";"e606aa2a-16e0-4844-892c-c647b2da9d95";"7700000000007550016";"д";"дом";"3";"";"";"";"";"";"";"";"212424";"";"";"e606aa2a-16e0-4844-892c-c647b2da9d95";"77000000000000007550016";"8";"0";"7700000000007550016";"0";"45293566000";"45902000";"7728";"7728";"UTC+3";"55.6456164";"37.5331646";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.6, 'line': 'Калужско-Рижская', 'name': 'Беляево'}, {'distance': 1.3, 'line': 'Калужско-Рижская', 'name': 'Калужская'}, {'distance': 1.8, 'line': 'Калужско-Рижская', 'name': 'Коньково'}]"
"774";"город Москва, улица Генерала Антонова, дом 5, корпус 1";"г Москва, ул Генерала Антонова, д 5 к 1";"117342";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-западный";"";"";"р-н Коньково";"р-н";"район";"Коньково";"";"";"";"";"";"";"5c0ba867-464d-485f-88bb-73d97c4dde46";"77000000000075500";"ул Генерала Антонова";"ул";"улица";"Генерала Антонова";"7a86f219-0230-42dc-a293-33fb871eec22";"7700000000007550019";"д";"дом";"5";"к";"корпус";"1";"";"";"";"";"167939";"";"";"7a86f219-0230-42dc-a293-33fb871eec22";"77000000000000007550019";"8";"0";"7700000000007550019";"0";"45293566000";"45902000";"7728";"7728";"UTC+3";"55.6451912";"37.5348847";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.6, 'line': 'Калужско-Рижская', 'name': 'Беляево'}, {'distance': 1.3, 'line': 'Калужско-Рижская', 'name': 'Калужская'}, {'distance': 1.8, 'line': 'Калужско-Рижская', 'name': 'Коньково'}]"
"777";"город Москва, улица Генерала Антонова, дом 5, корпус 4";"г Москва, ул Генерала Антонова, д 5 к 4";"117342";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-западный";"";"";"р-н Коньково";"р-н";"район";"Коньково";"";"";"";"";"";"";"5c0ba867-464d-485f-88bb-73d97c4dde46";"77000000000075500";"ул Генерала Антонова";"ул";"улица";"Генерала Антонова";"05792215-0101-40c2-9a8c-2175b73b4354";"7700000000007550024";"д";"дом";"5";"к";"корпус";"4";"";"";"";"";"171530";"";"";"05792215-0101-40c2-9a8c-2175b73b4354";"77000000000000007550024";"8";"0";"7700000000007550024";"0";"45293566000";"45902000";"7728";"7728";"UTC+3";"55.6460861";"37.5370549";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.8, 'line': 'Калужско-Рижская', 'name': 'Беляево'}, {'distance': 1.2, 'line': 'Калужско-Рижская', 'name': 'Калужская'}, {'distance': 1.9, 'line': 'Калужско-Рижская', 'name': 'Коньково'}]"
"780";"город Москва, улица Генерала Антонова, дом 7, корпус 1";"г Москва, ул Генерала Антонова, д 7 к 1";"117342";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-западный";"";"";"р-н Коньково";"р-н";"район";"Коньково";"";"";"";"";"";"";"5c0ba867-464d-485f-88bb-73d97c4dde46";"77000000000075500";"ул Генерала Антонова";"ул";"улица";"Генерала Антонова";"8b8aae01-a918-40ef-8add-f905e73593a1";"7700000000007550031";"д";"дом";"7";"к";"корпус";"1";"";"";"";"";"190081";"";"";"8b8aae01-a918-40ef-8add-f905e73593a1";"77000000000000007550031";"8";"0";"7700000000007550031";"0";"45293566000";"45902000";"7728";"7728";"UTC+3";"55.6445434";"37.5387989";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.8, 'line': 'Калужско-Рижская', 'name': 'Беляево'}, {'distance': 1.4, 'line': 'Калужско-Рижская', 'name': 'Калужская'}, {'distance': 1.9, 'line': 'Калужско-Рижская', 'name': 'Коньково'}]"
"782";"город Москва, улица Генерала Антонова, дом 8";"г Москва, ул Генерала Антонова, д 8";"117279";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-западный";"";"";"р-н Коньково";"р-н";"район";"Коньково";"";"";"";"";"";"";"5c0ba867-464d-485f-88bb-73d97c4dde46";"77000000000075500";"ул Генерала Антонова";"ул";"улица";"Генерала Антонова";"611a3e26-9666-4f8f-a28f-2f6791d05caa";"7700000000007550010";"д";"дом";"8";"";"";"";"";"";"";"";"187270";"";"";"611a3e26-9666-4f8f-a28f-2f6791d05caa";"77000000000000007550010";"8";"0";"7700000000007550010";"0";"45293566000";"45902000";"7728";"7728";"UTC+3";"55.642918";"37.5375004";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.7, 'line': 'Калужско-Рижская', 'name': 'Беляево'}, {'distance': 1.5, 'line': 'Калужско-Рижская', 'name': 'Калужская'}, {'distance': 1.7, 'line': 'Калужско-Рижская', 'name': 'Коньково'}]"
"786";"город Москва, улица Антонова-Овсеенко, дом 3";"г Москва, ул Антонова-Овсеенко, д 3";"123317";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Пресненский";"р-н";"район";"Пресненский";"";"";"";"";"";"";"d90a403b-fced-4bdc-9ef5-fd923c300f1a";"77000000000075600";"ул Антонова-Овсеенко";"ул";"улица";"Антонова-Овсеенко";"22eed5d3-7c16-4cfb-be5c-2e0371ccc312";"7700000000007560005";"д";"дом";"3";"";"";"";"";"";"";"";"217061";"";"";"22eed5d3-7c16-4cfb-be5c-2e0371ccc312";"77000000000000007560005";"8";"0";"7700000000007560005";"0";"45286575000";"45380000";"7703";"7703";"UTC+3";"55.7529901";"37.5391982";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.4, 'line': 'Филёвская', 'name': 'Выставочная'}, {'distance': 0.4, 'line': 'Большая Кольцевая', 'name': 'Деловой центр'}, {'distance': 0.6, 'line': 'Филёвская', 'name': 'Международная'}]"
"787";"город Москва, улица Антонова-Овсеенко, дом 4";"г Москва, ул Антонова-Овсеенко, д 4";"123100";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Пресненский";"р-н";"район";"Пресненский";"";"";"";"";"";"";"d90a403b-fced-4bdc-9ef5-fd923c300f1a";"77000000000075600";"ул Антонова-Овсеенко";"ул";"улица";"Антонова-Овсеенко";"3723ab6b-7201-4042-ab6c-8287e9e26063";"7700000000007560001";"д";"дом";"4";"";"";"";"";"";"";"";"261993";"";"";"3723ab6b-7201-4042-ab6c-8287e9e26063";"77000000000000007560001";"8";"0";"7700000000007560001";"0";"45286575000";"45380000";"7703";"7703";"UTC+3";"55.7534635";"37.5401178";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.4, 'line': 'Филёвская', 'name': 'Выставочная'}, {'distance': 0.5, 'line': 'Большая Кольцевая', 'name': 'Деловой центр'}, {'distance': 0.7, 'line': 'Филёвская', 'name': 'Международная'}]"
"791";"город Москва, улица Антонова-Овсеенко, дом 9";"г Москва, ул Антонова-Овсеенко, д 9";"123317";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Пресненский";"р-н";"район";"Пресненский";"";"";"";"";"";"";"d90a403b-fced-4bdc-9ef5-fd923c300f1a";"77000000000075600";"ул Антонова-Овсеенко";"ул";"улица";"Антонова-Овсеенко";"64d9023c-470b-47f7-a4d3-049b4fa2896b";"7700000000007560018";"д";"дом";"9";"";"";"";"";"";"";"";"221598";"";"";"64d9023c-470b-47f7-a4d3-049b4fa2896b";"77000000000000007560018";"8";"0";"7700000000007560018";"0";"45286575000";"45380000";"7703";"7703";"UTC+3";"55.7543431";"37.5380997";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.5, 'line': 'Филёвская', 'name': 'Выставочная'}, {'distance': 0.6, 'line': 'Большая Кольцевая', 'name': 'Деловой центр'}, {'distance': 0.7, 'line': 'Филёвская', 'name': 'Международная'}]"
"792";"город Москва, улица Антонова-Овсеенко, дом 11";"г Москва, ул Антонова-Овсеенко, д 11";"123317";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Пресненский";"р-н";"район";"Пресненский";"";"";"";"";"";"";"d90a403b-fced-4bdc-9ef5-fd923c300f1a";"77000000000075600";"ул Антонова-Овсеенко";"ул";"улица";"Антонова-Овсеенко";"12a623c9-e7d6-4acf-b940-93f4b8b9a7fa";"7700000000007560019";"д";"дом";"11";"";"";"";"";"";"";"";"218651";"";"";"12a623c9-e7d6-4acf-b940-93f4b8b9a7fa";"77000000000000007560019";"8";"0";"7700000000007560019";"0";"45286575000";"45380000";"7703";"7703";"UTC+3";"55.7547592";"37.53758";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.6, 'line': 'Филёвская', 'name': 'Выставочная'}, {'distance': 0.7, 'line': 'Большая Кольцевая', 'name': 'Деловой центр'}, {'distance': 0.8, 'line': 'Филёвская', 'name': 'Международная'}]"
"793";"город Москва, улица Арбат, дом 4, строение 1";"г Москва, ул Арбат, д 4 стр 1";"119019";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"151b9095-9f1d-4ab5-afc6-db971eed9d49";"7700000000007580082";"д";"дом";"4";"стр";"строение";"1";"";"";"";"";"422431";"";"";"151b9095-9f1d-4ab5-afc6-db971eed9d49";"77000000000000007580082";"8";"0";"7700000000007580082";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7520226";"37.5984676";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.2, 'line': 'Филёвская', 'name': 'Арбатская'}, {'distance': 0.3, 'line': 'Арбатско-Покровская', 'name': 'Арбатская'}, {'distance': 0.6, 'line': 'Филёвская', 'name': 'Александровский сад'}]"
"800";"город Москва, Большой Афанасьевский переулок, дом 36, строение 1";"г Москва, пер Афанасьевский Б., д 36 стр 1";"119019";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b8418dc9-0204-4bc0-8bfd-dda6be74fba5";"77000000000703400";"пер Афанасьевский Б.";"пер";"переулок";"Афанасьевский Б.";"26f91b25-60b5-48eb-819e-fab528be332b";"7700000000070340018";"д";"дом";"36";"стр";"строение";"1";"";"";"";"";"422431";"";"";"26f91b25-60b5-48eb-819e-fab528be332b";"77000000000000070340018";"8";"0";"7700000000070340018";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7509307";"37.5975345";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.3, 'line': 'Филёвская', 'name': 'Арбатская'}, {'distance': 0.4, 'line': 'Арбатско-Покровская', 'name': 'Арбатская'}, {'distance': 0.7, 'line': 'Филёвская', 'name': 'Александровский сад'}]"
"801";"город Москва, улица Арбат, дом 13";"г Москва, ул Арбат, д 13";"119019";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"e91f2951-1ed7-4e57-b83d-6a9b9c99a852";"7700000000007580089";"д";"дом";"13";"";"";"";"";"";"";"";"401370";"";"";"e91f2951-1ed7-4e57-b83d-6a9b9c99a852";"77000000000000007580089";"8";"0";"7700000000007580089";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7513215";"37.5973583";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.3, 'line': 'Филёвская', 'name': 'Арбатская'}, {'distance': 0.4, 'line': 'Арбатско-Покровская', 'name': 'Арбатская'}, {'distance': 0.7, 'line': 'Филёвская', 'name': 'Александровский сад'}]"
"806";"город Москва, улица Арбат, дом 18/1, строение 2";"г Москва, ул Арбат, д 18/1 стр 2";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"c591710b-537c-4e94-adcc-83d26c8ab131";"7700000000007580009";"д";"дом";"18/1";"стр";"строение";"2";"";"";"";"";"373998";"";"";"c591710b-537c-4e94-adcc-83d26c8ab131";"77000000000000007580009";"8";"0";"7700000000007580009";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7510073";"37.5936224";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.5, 'line': 'Филёвская', 'name': 'Арбатская'}, {'distance': 0.6, 'line': 'Арбатско-Покровская', 'name': 'Арбатская'}, {'distance': 0.7, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}]"
"811";"город Москва, улица Арбат, дом 25/36";"г Москва, ул Арбат, д 25/36";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"e843c363-4724-444d-bb9e-1b63e2ec9d91";"7700000000007580018";"д";"дом";"25/36";"";"";"";"";"";"";"";"422431";"";"";"e843c363-4724-444d-bb9e-1b63e2ec9d91";"77000000000000007580018";"8";"0";"7700000000007580018";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7500823";"37.5946967";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.5, 'line': 'Филёвская', 'name': 'Арбатская'}, {'distance': 0.6, 'line': 'Арбатско-Покровская', 'name': 'Арбатская'}, {'distance': 0.7, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}]"
"822";"город Москва, улица Арбат, дом 36/2, строение 1";"г Москва, ул Арбат, д 36/2 стр 1";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"79bbf055-8eab-414a-89b2-8bcd2f78ca33";"7700000000007580036";"д";"дом";"36/2";"стр";"строение";"1";"";"";"";"";"422431";"";"";"79bbf055-8eab-414a-89b2-8bcd2f78ca33";"77000000000000007580036";"8";"0";"7700000000007580036";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7489706";"37.5884772";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.3, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}, {'distance': 0.4, 'line': 'Филёвская', 'name': 'Смоленская'}, {'distance': 0.9, 'line': 'Филёвская', 'name': 'Арбатская'}]"
"823";"город Москва, улица Арбат, дом 36/2, строение 3";"г Москва, ул Арбат, д 36/2 стр 3";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"0848e8dd-8c1b-42e5-9194-aafe4fb0e691";"7700000000007580037";"д";"дом";"36/2";"стр";"строение";"3";"";"";"";"508.2";"422431";"214679435";"";"0848e8dd-8c1b-42e5-9194-aafe4fb0e691";"77000000000000007580037";"8";"0";"7700000000007580037";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7490681";"37.5886817";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.3, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}, {'distance': 0.4, 'line': 'Филёвская', 'name': 'Смоленская'}, {'distance': 0.9, 'line': 'Филёвская', 'name': 'Арбатская'}]"
"828";"город Москва, улица Арбат, дом 40";"г Москва, ул Арбат, д 40";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"851159df-4afd-4a42-bcb0-0d6e50df82e5";"7700000000007580045";"д";"дом";"40";"";"";"";"";"";"";"";"422431";"";"";"851159df-4afd-4a42-bcb0-0d6e50df82e5";"77000000000000007580045";"8";"0";"7700000000007580045";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7484383";"37.5875733";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.2, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}, {'distance': 0.3, 'line': 'Филёвская', 'name': 'Смоленская'}, {'distance': 1.0, 'line': 'Филёвская', 'name': 'Арбатская'}]"
"838";"город Москва, улица Арбат, дом 51, строение 1";"г Москва, ул Арбат, д 51 стр 1";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"5f42d6c8-82dc-4fc0-a510-b5e8e4fcf139";"7700000000007580070";"д";"дом";"51";"стр";"строение";"1";"";"";"";"";"500930";"";"";"5f42d6c8-82dc-4fc0-a510-b5e8e4fcf139";"77000000000000007580070";"8";"0";"7700000000007580070";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7478338";"37.5866";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.2, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}, {'distance': 0.3, 'line': 'Филёвская', 'name': 'Смоленская'}, {'distance': 1.1, 'line': 'Филёвская', 'name': 'Арбатская'}]"
"840";"город Москва, улица Арбат, дом 51, строение 3";"г Москва, ул Арбат, д 51 стр 3";"119002";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Центральный";"";"";"р-н Арбат";"р-н";"район";"Арбат";"";"";"";"";"";"";"b30b63a1-c2be-4efc-9d0c-c9b6d7438e15";"77000000000075800";"ул Арбат";"ул";"улица";"Арбат";"d951827d-4152-4a04-bc88-1743b4faf293";"7700000000007580072";"д";"дом";"51";"стр";"строение";"3";"";"";"";"";"389203";"";"";"d951827d-4152-4a04-bc88-1743b4faf293";"77000000000000007580072";"8";"0";"7700000000007580072";"0";"45286552000";"45374000";"7704";"7704";"UTC+3";"55.7471697";"37.5870676";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.2, 'line': 'Арбатско-Покровская', 'name': 'Смоленская'}, {'distance': 0.4, 'line': 'Филёвская', 'name': 'Смоленская'}, {'distance': 1.1, 'line': 'Филёвская', 'name': 'Арбатская'}]"
"848";"город Москва, Аргуновская улица, дом 12";"г Москва, ул Аргуновская, д 12";"129075";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Останкинский";"р-н";"район";"Останкинский";"";"";"";"";"";"";"08617e6d-911e-4cb3-b8cb-351b87f5b8d8";"77000000000076300";"ул Аргуновская";"ул";"улица";"Аргуновская";"65505627-0fbc-4d26-b23e-99ef484fd15a";"7700000000007630021";"д";"дом";"12";"";"";"";"";"";"";"";"229312";"";"";"65505627-0fbc-4d26-b23e-99ef484fd15a";"77000000000000007630021";"8";"0";"7700000000007630021";"0";"45280572000";"45358000";"7717";"7717";"UTC+3";"55.8174124";"37.6228156";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.6, 'line': 'Монорельс', 'name': 'Ул. Академика Королева'}, {'distance': 1.0, 'line': 'Монорельс', 'name': 'Телецентр'}, {'distance': 1.1, 'line': 'Калужско-Рижская', 'name': 'ВДНХ'}]"
"850";"город Москва, Аргуновская улица, дом 16";"г Москва, ул Аргуновская, д 16";"129075";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Северо-восточный";"";"";"р-н Останкинский";"р-н";"район";"Останкинский";"";"";"";"";"";"";"08617e6d-911e-4cb3-b8cb-351b87f5b8d8";"77000000000076300";"ул Аргуновская";"ул";"улица";"Аргуновская";"e77c5ac5-859d-47e4-b377-b7ee179c8e2c";"7700000000007630030";"д";"дом";"16";"";"";"";"";"";"";"";"210386";"";"";"e77c5ac5-859d-47e4-b377-b7ee179c8e2c";"77000000000000007630030";"8";"0";"7700000000007630030";"0";"45280572000";"45358000";"7717";"7717";"UTC+3";"55.819069";"37.6209557";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.5, 'line': 'Монорельс', 'name': 'Ул. Академика Королева'}, {'distance': 0.8, 'line': 'Монорельс', 'name': 'Телецентр'}, {'distance': 1.2, 'line': 'Монорельс', 'name': 'Выставочный центр'}]"
"855";"город Москва, Армавирская улица, дом 4, корпус 2";"г Москва, ул Армавирская, д 4 к 2";"109382";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-восточный";"";"";"р-н Люблино";"р-н";"район";"Люблино";"";"";"";"";"";"";"69bb9e16-cacf-49e3-810f-55451c370007";"77000000000015700";"ул Армавирская";"ул";"улица";"Армавирская";"6734af71-c616-4107-8a51-276f2f1e7c06";"7700000000001570006";"д";"дом";"4";"к";"корпус";"2";"";"";"";"";"152628";"";"";"6734af71-c616-4107-8a51-276f2f1e7c06";"77000000000000001570006";"8";"0";"7700000000001570006";"0";"45290568000";"45389000";"7723";"7723";"UTC+3";"55.6750389";"37.7548092";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.5, 'line': 'Люблинско-Дмитровская', 'name': 'Люблино'}, {'distance': 1.7, 'line': 'Люблинско-Дмитровская', 'name': 'Волжская'}, {'distance': 1.8, 'line': 'Люблинско-Дмитровская', 'name': 'Братиславская'}]"
"856";"город Москва, Армавирская улица, дом 5";"г Москва, ул Армавирская, д 5";"109382";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-восточный";"";"";"р-н Люблино";"р-н";"район";"Люблино";"";"";"";"";"";"";"69bb9e16-cacf-49e3-810f-55451c370007";"77000000000015700";"ул Армавирская";"ул";"улица";"Армавирская";"9714f0e6-e430-47ea-9dab-9a90e0e327f5";"7700000000001570008";"д";"дом";"5";"";"";"";"";"";"";"";"142752";"";"";"9714f0e6-e430-47ea-9dab-9a90e0e327f5";"77000000000000001570008";"8";"0";"7700000000001570008";"0";"45290568000";"45389000";"7723";"7723";"UTC+3";"55.6758512";"37.7516487";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.6, 'line': 'Люблинско-Дмитровская', 'name': 'Люблино'}, {'distance': 1.6, 'line': 'Люблинско-Дмитровская', 'name': 'Волжская'}, {'distance': 1.9, 'line': 'Люблинско-Дмитровская', 'name': 'Братиславская'}]"
"859";"город Москва, Армавирская улица, дом 7";"г Москва, ул Армавирская, д 7";"109382";"Россия";"0c5b2444-70a0-4932-980c-b4dc0d3f02b5";"7700000000000";"г Москва";"г";"город";"Москва";"";"";"";"";"";"";"";"";"";"";"";"";"Юго-восточный";"";"";"р-н Люблино";"р-н";"район";"Люблино";"";"";"";"";"";"";"69bb9e16-cacf-49e3-810f-55451c370007";"77000000000015700";"ул Армавирская";"ул";"улица";"Армавирская";"e5430ab3-ae10-48a7-beaf-9fedc708c3e2";"7700000000001570011";"д";"дом";"7";"";"";"";"";"";"";"";"156770";"";"";"e5430ab3-ae10-48a7-beaf-9fedc708c3e2";"77000000000000001570011";"8";"0";"7700000000001570011";"0";"45290568000";"45389000";"7723";"7723";"UTC+3";"55.6747464";"37.7517614";"IN_MKAD";"";"0";"5";"2";"0";"";"[{'distance': 0.7, 'line': 'Люблинско-Дмитровская', 'name': 'Люблино'}, {'distance': 1.8, 'line': 'Люблинско-Дмитровская', 'name': 'Волжская'}, {'distance': 1.8, 'line': 'Люблинско-Дмитровская', 'name': 'Братиславская'}]"
