"id";"tag";"geom";"data_source"
"93";"dog_park";"POINT (37.511715 55.669474)";"data.mos"
"94";"dog_park";"POINT (37.820476 55.741277)";"data.mos"
"95";"dog_park";"POINT (37.830514 55.742261)";"data.mos"
"96";"dog_park";"POINT (37.80126 55.723302)";"data.mos"
"97";"dog_park";"POINT (37.823452 55.821473)";"data.mos"
"98";"dog_park";"POINT (37.782185 55.813351)";"data.mos"
"99";"dog_park";"POINT (37.81148 55.826981)";"data.mos"
"100";"dog_park";"POINT (37.83471 55.820351)";"data.mos"
"101";"dog_park";"POINT (37.830888 55.716363)";"data.mos"
"102";"dog_park";"POINT (37.836921 55.722544)";"data.mos"
"103";"dog_park";"POINT (37.838349 55.735749)";"data.mos"
"104";"dog_park";"POINT (37.840542 55.758342)";"data.mos"
"105";"dog_park";"POINT (37.430037 55.730619)";"data.mos"
"106";"dog_park";"POINT (37.450349 55.729271)";"data.mos"
"107";"dog_park";"POINT (37.423146 55.739541)";"data.mos"
"108";"dog_park";"POINT (37.35818 55.782595)";"data.mos"
"109";"dog_park";"POINT (37.443503 55.676268)";"data.mos"
"110";"dog_park";"POINT (37.52755 55.73548)";"data.mos"
"111";"dog_park";"POINT (37.439363 55.725905)";"data.mos"
"112";"dog_park";"POINT (37.426204 55.726154)";"data.mos"
"113";"dog_park";"POINT (37.565826 55.739524)";"data.mos"
"114";"dog_park";"POINT (37.411502 55.712324)";"data.mos"
"115";"dog_park";"POINT (37.39703 55.707052)";"data.mos"
"116";"dog_park";"POINT (37.397642 55.706148)";"data.mos"
"117";"dog_park";"POINT (37.439851 55.714969)";"data.mos"
"118";"dog_park";"POINT (37.38797 55.720979)";"data.mos"
"119";"dog_park";"POINT (37.490232 55.741207)";"data.mos"
"120";"dog_park";"POINT (37.402349 55.716794)";"data.mos"
"121";"dog_park";"POINT (37.395158 55.709568)";"data.mos"
"122";"dog_park";"POINT (37.38456 55.718961)";"data.mos"
"123";"dog_park";"POINT (37.527005 55.736155)";"data.mos"
"124";"dog_park";"POINT (37.555687 55.745238)";"data.mos"
"125";"dog_park";"POINT (37.381878 55.65031)";"data.mos"
"126";"dog_park";"POINT (37.493382 55.66165)";"data.mos"
"127";"dog_park";"POINT (37.553361 55.745321)";"data.mos"
"128";"dog_park";"POINT (37.570546 55.746791)";"data.mos"
"129";"dog_park";"POINT (37.452482 55.669274)";"data.mos"
"130";"dog_park";"POINT (37.209181 56.012589)";"data.mos"
"131";"dog_park";"POINT (37.201502 56.003484)";"data.mos"
"132";"dog_park";"POINT (37.205921 55.992542)";"data.mos"
"133";"dog_park";"POINT (37.182066 55.988342)";"data.mos"
"134";"dog_park";"POINT (37.172859 55.985571)";"data.mos"
"135";"dog_park";"POINT (37.184917 55.998517)";"data.mos"
"136";"dog_park";"POINT (37.234429 56.001567)";"data.mos"
"137";"dog_park";"POINT (37.189398 55.99216)";"data.mos"
"138";"dog_park";"POINT (37.194674 55.991429)";"data.mos"
"139";"dog_park";"POINT (37.191525 55.974816)";"data.mos"
"140";"dog_park";"POINT (37.186149 55.986763)";"data.mos"
"141";"dog_park";"POINT (37.220455 55.993805)";"data.mos"
"142";"dog_park";"POINT (37.255279 55.993629)";"data.mos"
"143";"dog_park";"POINT (37.158555 55.982186)";"data.mos"
"144";"dog_park";"POINT (37.184642 55.970094)";"data.mos"
"145";"dog_park";"POINT (37.166463 55.975839)";"data.mos"
"146";"dog_park";"POINT (37.219845 55.994211)";"data.mos"
"147";"dog_park";"POINT (37.152333 55.97434)";"data.mos"
"148";"dog_park";"POINT (37.200116 55.956193)";"data.mos"
"149";"dog_park";"POINT (37.18591 55.975826)";"data.mos"
"150";"dog_park";"POINT (37.167488 55.978403)";"data.mos"
"151";"dog_park";"POINT (37.228775 55.987653)";"data.mos"
"152";"dog_park";"POINT (37.155899 55.990387)";"data.mos"
"153";"dog_park";"POINT (37.534525 55.80586)";"data.mos"
"154";"dog_park";"POINT (37.52963 55.80583)";"data.mos"
"155";"dog_park";"POINT (37.542519 55.797764)";"data.mos"
"156";"dog_park";"POINT (37.546407 55.797567)";"data.mos"
"157";"dog_park";"POINT (37.552101 55.803199)";"data.mos"
"158";"dog_park";"POINT (37.536185 55.799867)";"data.mos"
"159";"dog_park";"POINT (37.534034 55.801891)";"data.mos"
"160";"dog_park";"POINT (37.537126 55.800792)";"data.mos"
"161";"dog_park";"POINT (37.539834 55.804594)";"data.mos"
"162";"dog_park";"POINT (37.57362 55.777425)";"data.mos"
"163";"dog_park";"POINT (37.554643 55.777928)";"data.mos"
