s_id,name,geom,status,func,url,address,end_year
construction-2020,Стартовые площадки,POINT (37.6698 55.629713),designed,renov-2023,https://stroi.mos.ru/construction/2020,"Ереванская ул., напротив д. 10, корп. 1",2021
construction-2013,Стартовые площадки,POINT (37.692271819156 55.683459959198),designed,renov-2023,https://stroi.mos.ru/construction/2013,"ул. Речников, д. 18-20",2021
construction-2070,Стартовые площадки,POINT (37.478844157216 55.771530196156),designed,renov-2023,https://stroi.mos.ru/construction/2070,"Карамышевская набережная, вл.22,  корп. 2",2021
construction-2068,Стартовые площадки,POINT (37.460327995057 55.779809039247),designed,renov-2023,https://stroi.mos.ru/construction/2068,"кв. 83, Генерала Глаголева ул., вл. 5, корп. 1",2021
construction-2051,Стартовые площадки,POINT (37.560943248337 55.677377513772),designed,renov-2023,https://stroi.mos.ru/construction/2051,"кв. 20, 21, Профсоюзная ул., вл. 32",2021
construction-2056,Стартовые площадки,POINT (37.553557330663 55.682145725721),designed,renov-2023,https://stroi.mos.ru/construction/2056,"ул. Архитектора Власова, вл. 2",2021
construction-2032,Стартовые площадки,POINT (37.584648025872 55.660800311943),designed,renov-2023,https://stroi.mos.ru/construction/2032,"кв. 37, Болотниковская ул., вл. 43",2021
construction-2049,Стартовые площадки,POINT (37.411050726534 55.73413656425),designed,renov-2023,https://stroi.mos.ru/construction/2049,"Молодогвардейская ул., д. 44",2021
construction-2044,Стартовые площадки,POINT (37.406028861238 55.644851641453),designed,renov-2023,https://stroi.mos.ru/construction/2044,"Щорса ул., вл.15",2021
construction-2037,Стартовые площадки,POINT (37.575419348591 55.649046206098),designed,renov-2023,https://stroi.mos.ru/construction/2037,"кв. 42, Керченская ул., вл. 30",2021
road-11,Развязка с Профсоюзной улицей,POINT (37.491908075752 55.611316901386),construction,road,https://stroi.mos.ru/road/interchange/11,"Россия, Москва, Профсоюзная улица",
road-23,Шоссе Энтузиастов,POINT (37.751612504299 55.758341210189),operation,road,https://stroi.mos.ru/road/trunk/23,,
construction-2183,Стартовые площадки,POINT (37.689753 55.75046),designed,renov-2023,https://stroi.mos.ru/construction/2183,"мкр. Ограниченный ул. Золоторожский Вал, проездом завода Серп и Молот, Шоссе Энтузиастов, пр. 6626, уч. 14, 15",2021
construction-2176,Стартовые площадки,POINT (37.534442246301 55.942632650046),designed,renov-2023,https://stroi.mos.ru/construction/2176,"Дмитровское шоссе, вл. 167, корп. 4А",2021
construction-2188,Стартовые площадки,POINT (37.618093 55.702365),designed,renov-2023,https://stroi.mos.ru/construction/2188,"между М. Тульская ул., д. 55, корп. 4 и Б. Тульская ул., д. 54, корп. 3",2021
construction-2190,Стартовые площадки,POINT (37.690938 55.6816),designed,renov-2023,https://stroi.mos.ru/construction/2190,"Речников ул., вл. 22",2021
construction-2195,Стартовые площадки,POINT (37.457005 55.836326),designed,renov-2023,https://stroi.mos.ru/construction/2195,"Лодочная, вл. 11",2021
construction-2107,ТПУ «Битцевский парк»,POINT (37.55809 55.60036),designed,tpu,https://stroi.mos.ru/construction/2107,Новоясеневский проспект,
construction-2114,ТПУ «Кленовый бульвар»,POINT (37.679604 55.674254),designed,tpu,https://stroi.mos.ru/construction/2114,у нового входа в парк «Коломенское» со стороны Коломенской улицы,2022
construction-2126,ТПУ «Метровокзал Сосенки»,POINT (37.434189 55.548341),designed,tpu,https://stroi.mos.ru/construction/2126,Периферийная зона,2020
road-35,Развязка с Липецкой улицей,POINT (37.687997862549 55.576542808409),construction,road,https://stroi.mos.ru/road/interchange/35,"Россия, Москва, Липецкая улица",
construction-2222,"Северное Медведково, проезд Шокальского, вл. 27, к. 2",POINT (37.644463216919 55.881144689261),operation,renov-bld,https://stroi.mos.ru/construction/2222,,2017
construction-2227,"Проспект Вернадского, кв. 34-35, к. 27",POINT (37.494357882286 55.673156143628),operation,renov-bld,https://stroi.mos.ru/construction/2227,,2017
construction-2215,"Бескудниковский район, мкр. 5, корп. 9",POINT (37.561287973787 55.858890875322),operation,renov-bld,https://stroi.mos.ru/construction/2215,,2017
road-42,Проезд Шокальского,POINT (37.620393 55.75396),construction,road,https://stroi.mos.ru/road/regional/42,,
construction-2246,Кинотеатр «Байконур»,POINT (37.605122 55.864849),designed,cinema,https://stroi.mos.ru/construction/2246,"Улица Декабристов, д. 17",2020
construction-2253,Кинотеатр «Планета»,POINT (37.473375 55.707887),designed,cinema,https://stroi.mos.ru/construction/2253,"Улица Нежинская, д. 11",2020
construction-2258,Кинотеатр «Родина»,POINT (37.717869 55.781565),designed,cinema,https://stroi.mos.ru/construction/2258,"Семеновская площадь, д. 5",2020
construction-2260,Кинотеатр «София»,POINT (37.800721 55.803651),designed,cinema,https://stroi.mos.ru/construction/2260,пересечение Сиреневого бульвара с 9-й Парковой улицей,2020
road-28,Рублевское шоссе,POINT (37.417437 55.747191),operation,road,https://stroi.mos.ru/road/road/28,,
