geom,CommonName,global_id,FullName
MULTIPOINT (37.332517485768 55.502529374332),Центр Культуры и Спорта «Ватутинки»,477012749,Государственное бюджетное учреждение культуры города Москвы «Центр Культуры и Спорта «Ватутинки»
"MULTIPOINT (37.872649728859 55.745482414997, 37.863868466567 55.738455110351)",Дом культуры «Новокосино»,477012766,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Новокосино»
MULTIPOINT (37.55755974864 55.803205049709),Клуб культуры и эстетики «Родничок»,477012772,Государственное бюджетное учреждение культуры города Москвы «Клуб культуры и эстетики «Родничок»
MULTIPOINT (37.491711884897 55.875671218899),Клуб «Огонёк»,477012773,Государственное бюджетное учреждение культуры города Москвы «Клуб «Огонёк»
MULTIPOINT (37.633274372144 55.808082632926),Дом культуры «Культурный центр»,477012817,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Культурный центр»
"MULTIPOINT (37.685178814096 55.682269145429, 37.682341229867 55.683341152959)",Дом культуры «Нагатино»,477012831,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Нагатино»
MULTIPOINT (37.538766010047 55.613750644025),Культурный центр «Вдохновение»,477012847,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Вдохновение»
MULTIPOINT (37.627003181747 55.897379322918),Дом культуры «Смена»,477012880,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Смена»
"MULTIPOINT (37.455756083747 55.792005645164, 37.491067301183 55.777996681866, 37.475222256186 55.809858911247, 37.49421906696 55.793428940839, 37.48416087038 55.770657962357, 37.46840917638 55.805610586249, 37.489532072201 55.798219376215)",Клуб «Феникс»,477012923,Государственное бюджетное учреждение культуры города Москвы «Клуб «Феникс»
"MULTIPOINT (37.764539223526 55.824185963516, 37.726057275144 55.808959163837)",Клуб «Лицей»,477012982,Государственное бюджетное учреждение культуры города Москвы «Клуб «Лицей»
"MULTIPOINT (37.494185502045 55.793479251799, 37.496177800197 55.793022212109, 37.479431082518 55.784866904806)",Клуб «Атом»,477013005,Государственное бюджетное учреждение культуры города Москвы «Клуб «Атом»
"MULTIPOINT (37.355748733403 55.846383204496, 37.348682980245 55.857200903288, 37.366464876076 55.84184700879)",Культурный центр «Митино»,477013043,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Митино»
MULTIPOINT (37.922368182373 55.683707694537),Дом культуры «Заречье»,477013056,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Заречье»
MULTIPOINT (37.189111925045 55.413373493372),Дом культуры «Михайловское»,477013057,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Михайловское»
MULTIPOINT (37.553426860512 55.939849342715),Культурный центр «Северный»,477013061,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Северный»
"MULTIPOINT (37.580394522572 55.502272246353, 37.550152055569 55.547796933865)",Центр культуры и досуга «Лира»,477013066,Государственное бюджетное учреждение культуры города Москвы «Центр культуры и досуга «Лира»
"MULTIPOINT (37.597027126407 55.791856171774, 37.594132007995 55.790166622746, 37.596946735067 55.7909209971)",Культурный центр «Новослободский»,477013079,Государственное бюджетное учреждение культуры города Москвы «Культурный центр «Новослободский»
MULTIPOINT (37.606857593933 55.590983697704),Дом культуры «Маяк»,477013088,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Маяк»
MULTIPOINT (37.620971519873 55.673571733637),Дом культуры «Нагорный»,477013106,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Нагорный»
MULTIPOINT (37.644272364274 55.593264218719),Дом культуры «Дружба»,477013133,Государственное бюджетное учреждение культуры города Москвы «Дом культуры «Дружба»
"MULTIPOINT (37.484880872515 55.765776020851, 37.494250675713 55.738086550984, 37.489371685162 55.738102536435)",Территориальная клубная система «Бригантина»,637542789,Государственное бюджетное учреждение культуры города Москвы «Территориальная клубная система «Бригантина»
