geometry/coordinates/0,geometry/coordinates/1,geometry/type,properties/DatasetId,properties/VersionNumber,properties/ReleaseNumber,properties/RowId,properties/Attributes/Name,properties/Attributes/global_id,properties/Attributes/AdmArea,properties/Attributes/District,properties/Attributes/DescriptionLocation,properties/Attributes/Address,properties/Attributes/EventDate,properties/Attributes/TIME,properties/Attributes/PaymentInfo,type
37.451618,55.779813,Point,2249,1,25,,Подгтовка к школе (вечер),840228606,Северо-Западный административный округ,район Хорошёво-Мнёвники,ГБУК г. Москвы «Дом культуры «Берендей»,"проспект Маршала Жукова, дом 76, рядом с Живописным мостом и Серебряным бором","Понедельник, среда, четверг, суббота","Пн, ср, чт: 16:15-19:45, сб: 11:00-13:00",Платно,Feature
37.853811,55.737902,Point,2249,1,25,,Библиотека,840242569,Восточный административный округ,район Новокосино,"ГБУК г.Москвы «ЦБС ВАО», Библиотека № 97","улица Новокосинская, дом 15, корпус 3",круглогодично,12.00-20.00,свободная,Feature
37.595402,55.768264,Point,2249,1,25,,"Астрид Лингрен ""Малыш и Карлсон, который живет на крыше""",841556149,Центральный административный округ,Пресненский район,"Москва, Триумфальная пл., 2","ст.м. Маяковская, Пушкинская","11 февраля, 3, 25 марта, 1, 28 апреля",12 часов,Билеты на satire.ru,Feature
37.51645484788469,55.796395824225996,Point,2249,1,25,,"Студия танцев «Золотое Руно» (от 3 до 5 лет). Развитие ритмичности, пластичности, координации движений, координации в пространстве; владение собственным телом; выпрямление осанки; растяжка; умение работать в коллективе и самостоятельно.",861098249,Северный административный округ,район Сокол,ГБУК г. Москвы «Центр культуры «Гармония»,"2-я Песчаная улица, дом 3",Каждый вторник и пятницу,С 17:00 до 18:00,Платно,Feature
37.70858445767204,55.60793643939755,Point,2249,1,25,,Ведущий творческий коллектив города Москвы Театр эстрадного и народного танца «Славяне»,840253680,Южный административный округ,район Орехово-Борисово Южное,"ГБУК г. Москвы «ТКС «Орехово», Центр творчества «Московские окна»","улица Домодедовская, дом 24, корпус 2",В течение года,Подробное расписание на сайте http://tks-orehovo.ru,Платно,Feature
37.597836,55.743553,Point,2249,1,25,,Игровая тематическая экскурсия «Негде в тридевятом царстве...»,840243017,Центральный административный округ,район Хамовники,"ГБУК г. Москвы «Государственный музей А.С. Пушкина», вход в основное здание со стороны Хрущевского переулка","улица Пречистенка, дом 12/2","Выходные дни (суббота, воскресение)",11.00,Платная форма посещения по билетам.,Feature
37.92239301125286,55.68384122499518,Point,2249,1,25,,«Бисеринки» - детский коллектив классического танца,840256703,Юго-Восточный административный округ,район Некрасовка,ГБУК г. Москвы «Дом культуры «Заречье»,"улица 1-я Вольская, дом 11","Вторник, четверг",С 18:00 до 19:00,Платно,Feature
37.826715,55.731957,Point,2249,1,25,,Баскетбольно-волейбольная площадка №1,840246965,Восточный административный округ,район Вешняки,"ГАУК г.Москвы «Перовский парк культуры и отдыха», парк у прудов ""Радуга"", пересечение улицы Юности и аллеи Жемчуговой",Баскетбольно-волейбольная площадка расположена со стороны аллеи Жемчуговой,летний период,круглосуточно,бесплатно,Feature
37.453965076750436,55.85517761068458,Point,2249,1,25,,Детская площадка № 3,841863601,Северо-Западный административный округ,район Северное Тушино,ГАУК г. Москвы «МПК «Северное Тушино»,"улица Свободы, дом 56, строение 1",Круглогодично,с 06:00 до 24:00,Бесплатно,Feature
37.748394,55.786293,Point,2249,1,25,,Хаски-парк,837585356,Восточный административный округ,район Измайлово,ГАУК г. Москвы «Измайловский Парк культуры и отдыха»,"Измайловский проспект дом 2, «Лес Чудес» Северный вход в парк, Хаски-парк",Будни,12:00-20:00,Платно,Feature
