"id";"tag";"geom";"data_source"
"85";"playground";"POINT (37.7866635 55.7428415)";"OpenStreetMap"
"86";"playground";"POINT (37.5020428 55.746051)";"OpenStreetMap"
"87";"playground";"POINT (38.0641503 55.9027482)";"OpenStreetMap"
"88";"playground";"POINT (37.7856958 55.7420604)";"OpenStreetMap"
"89";"playground";"POINT (37.7837432 55.7422054)";"OpenStreetMap"
"90";"playground";"POINT (37.7501164 55.6268203)";"OpenStreetMap"
"91";"sports_centre";"POINT (37.5712678 55.4098082)";"OpenStreetMap"
"92";"playground";"POINT (37.9642038 55.8321796)";"OpenStreetMap"
"93";"playground";"POINT (37.9682354 55.8324281)";"OpenStreetMap"
"94";"playground";"POINT (37.9664296 55.8300021)";"OpenStreetMap"
"95";"sports_centre";"POINT (37.1532943 55.9846517)";"OpenStreetMap"
"96";"playground";"POINT (37.9464329 55.8006053)";"OpenStreetMap"
"97";"playground";"POINT (37.5948961 55.8949536)";"OpenStreetMap"
"98";"swimming_pool";"POINT (37.9731394 55.7993871)";"OpenStreetMap"
"99";"playground";"POINT (37.946959 55.7978711)";"OpenStreetMap"
"100";"playground";"POINT (37.6394792 55.8109545)";"OpenStreetMap"
"101";"ice_rink";"POINT (37.7291625 55.8968567)";"OpenStreetMap"
"102";"playground";"POINT (37.5823184 55.503861)";"OpenStreetMap"
"103";"swimming_pool";"POINT (36.6970722 55.6852175)";"OpenStreetMap"
"104";"swimming_pool";"POINT (37.5241751 55.9285787)";"OpenStreetMap"
"105";"playground";"POINT (37.8308313 55.8099568)";"OpenStreetMap"
"106";"playground";"POINT (37.7758166 55.7402894)";"OpenStreetMap"
"107";"playground";"POINT (37.7765511 55.7412396)";"OpenStreetMap"
"108";"playground";"POINT (37.3500556 55.6043571)";"OpenStreetMap"
"109";"playground";"POINT (38.0872948 55.6016557)";"OpenStreetMap"
"110";"playground";"POINT (37.4050046 55.8475209)";"OpenStreetMap"
"111";"fitness_centre";"POINT (37.5134579 55.9330853)";"OpenStreetMap"
