Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"ул. Азовская, напротив д.24",0291,False,POINT (37.5975719 55.6464942),10,10,0,1,0
"ул. Профсоюзная, д.55",0288,False,POINT (37.5492 55.66466),12,12,0,2,0
"ул. Вавилова, д.32, стр.1",0306,False,POINT (37.57283 55.69826),12,12,0,7,0
"Комсомольский пр-т, д.5/2",0253,False,POINT (37.59244 55.73208),12,12,0,4,0
"ул. Костикова (2-я Звенигородская ул., д.13, стр.42)",0255,False,POINT (37.55135 55.7612),24,24,0,10,0
"ул. Большая Садовая, д.1",0114,False,POINT (37.590813 55.766245),12,12,0,5,0
"Новинский б-р, д.27, стр.2",0108,False,POINT (37.583633 55.756668),12,12,0,7,0
"Георгиевский пер., д.2",0042,False,POINT (37.6142074 55.7584711),12,12,0,7,0
МЦК Хорошёво,0515,False,POINT (37.506187 55.776742),27,27,0,9,0
"Саввинская наб., д.9",0259,False,POINT (37.5683739 55.7371931),21,21,0,9,0
"2-я Бауманская ул., д.3",0652,False,POINT (37.684929 55.768817),15,15,0,1,0
"1-я Тверская-Ямская ул., д.11",0086,False,POINT (37.5916535 55.7724933),15,15,0,4,0
"Большая Сухаревская пл., д.2 (ст. м. Сухаревская)",0125,False,POINT (37.632814 55.772192),24,24,0,14,0
"ул. Большая Грузинская, д.39",0234,False,POINT (37.581862 55.769853),12,12,0,9,0
"1-я Дубровская ул., д.7/10",0606,False,POINT (37.670731 55.725931),15,15,0,7,0
"ул. Стромынка, д.7, к.4",0490,False,POINT (37.6871517 55.7919252),12,12,0,11,0
Чистопрудный б-р (ст. м. Чистые пруды),0037,False,POINT (37.639141 55.764719),24,24,0,17,0
Дворцовая аллея (Пл. Космонавта Комарова),0531,False,POINT (37.55366 55.79435),15,15,0,4,0
"ул. 800-летия Москвы, д.11, к.1",0437,True,POINT (37.5660673 55.8818528),15,15,0,15,0
"5-й Лучевой просек, д.5А, стр.1 (парк Сокольники)",0499,False,POINT (37.674249 55.7995391),28,28,0,2,0
"пр-т Вернадского, д.70А",0284,False,POINT (37.49611 55.67144),12,12,0,0,0
"Петровско-Разумовский пр-д, д.24, к.4",0530,False,POINT (37.56302 55.8031),15,15,0,9,0
"Ходынский б-р, д.3",0504,False,POINT (37.53766 55.78664),15,15,0,4,0
"ул. Гризодубовой, д.2",0505,False,POINT (37.53099 55.7822),15,15,0,14,0
"3-я Песчаная ул., д.2",0502,False,POINT (37.51299 55.79227),15,15,0,1,0
"Рижский пр-д, д.8",0448,False,POINT (37.66064 55.81372),15,15,0,14,0
"пр-т Мира, д.142, стр.2 (ст. м. ВДНХ, выход к ул. Кибальчича)",0476,False,POINT (37.64044 55.81938),15,15,0,5,0
"ул. Нижняя Красносельская, д.40/12, к.11",0456,False,POINT (37.6726 55.77471),15,15,0,6,0
"5-я ул. Ямского поля, д.24",0426,False,POINT (37.57815 55.78834),15,15,0,4,0
"Триумфальная пл., д.2 (вход в сад Аквариум)",0115,False,POINT (37.594487 55.768127),20,20,0,6,0
"ул. Садовая-Тиумфальная, д.4/10",0116,False,POINT (37.5997612 55.7708538),12,12,0,10,0
"ул. Улофа Пальме, д.1",0392,False,POINT (37.513659 55.717902),12,12,0,2,0
"ул. Люсиновская, д.2 (ст. м. Добрынинская)",0264,False,POINT (37.6231799 55.7290315),12,12,0,7,0
"ул. Руставели, д.19 (ст. м.  Бутырская)",0537,False,POINT (37.6011372 55.8142078),24,24,0,3,0
"ул. Тверская, д.18",0046,False,POINT (37.6043076 55.7657169),18,18,0,7,0
"Преображенская пл., д.12 (ст. м. Преображенская площадь)",0539,False,POINT (37.714144 55.794816),21,21,0,3,0
"Ломоносовский пр-т, д.29, к.3 (ст. м. Ломоносовский пр-т, выход №2)",0355,False,POINT (37.514291 55.705293),12,12,0,2,0
"ул. Б. Каменщики, д.8",0610,False,POINT (37.65628 55.735005),12,12,0,5,0
"Токмаков пер., д.12/20",0654,False,POINT (37.6698876 55.7655969),15,15,0,9,0
"ул. Большая Почтовая, д.7, стр. 1",0655,False,POINT (37.692317 55.775968),15,15,0,3,0
"Сокольническая пл., д.7",0487,False,POINT (37.6779952 55.7921729),24,24,0,6,0
"Звёздный б-р, д.18/1",0472,False,POINT (37.6299313 55.8154706),12,12,0,12,0
Болотная пл. (напротив к/т Ударник),0082,False,POINT (37.615425 55.744008),21,21,0,3,0
"ул. Краснопрудная, д.13А (ст. м. Красносельская)",0455,False,POINT (37.6661093 55.7798124),18,18,0,12,0
"ул. Дубининская, д.25, стр.1",0267,False,POINT (37.637515 55.726421),12,12,0,3,0
"Варшавское ш., д.12",0278,False,POINT (37.62041 55.69684),12,12,0,4,0
"Варшавское ш., д.26 (ст. м. Нагатинская)",0280,False,POINT (37.62275 55.68397),12,12,0,4,0
ул. Орджоникидзе (напротив д.5),0273,False,POINT (37.60075 55.7107),12,12,0,6,0
"ул. Полковая, д.1, стр.2",0533,False,POINT (37.602618 55.798216),12,12,0,2,0
ст. м. Динамо (южный выход),0520,False,POINT (37.55936 55.78894),21,21,0,7,0
"Ленинградский пр-т, д.62А (ст. м. Аэропорт, выход в город к ул. Черняховского)",0523,False,POINT (37.53124 55.80132),24,24,0,7,0
"Мичуринский пр-т, д.31, к.4",0279,False,POINT (37.4960798 55.6946806),15,15,0,2,0
"ул. Удальцова, д.40А",0281,False,POINT (37.49097 55.68298),15,15,0,6,0
"пр-т Вернадского, д.12",0282,False,POINT (37.51531 55.68228),15,15,0,4,0
"пр-т Вернадского, д.86Д",0287,False,POINT (37.48128 55.66072),15,15,0,10,0
"пр-д Берёзовой Рощи, д.2",0506,True,POINT (37.5198 55.78611),15,15,0,8,0
"пр-т Мира, д.182",0536,False,POINT (37.64784 55.82637),15,15,0,11,0
"ул. Краснобогатырская, д.89",0494,False,POINT (37.71148 55.80138),12,12,0,7,0
"пр-т Мира, д.123",0535,False,POINT (37.64668 55.82667),12,12,0,11,0
"ул. Профсоюзная, д.43 (ст. м. Новые Черёмушки, выход №2)",0292,False,POINT (37.5539 55.66923),12,12,0,6,0
"ул. Земляной Вал, д.33",0141,False,POINT (37.6580268 55.7569598),12,12,0,7,0
"ул. Б. Каменщики, д.2 (ст. м. Таганская (радиальная))",0601,False,POINT (37.6531291 55.7390591),15,15,0,8,0
"ул. Воронцовская, д.50 (ст. м. Крестьянская Застава)",0604,False,POINT (37.665312 55.7323179),15,15,0,6,0
"1-я Тверская-Ямская ул., д.4 (ст. м. Маяковская, выход на 1-ю Тверскую-Ямскую ул.)",0048,False,POINT (37.5943833 55.7712466),18,18,0,12,0
"ул. Пречистенка, д.12/2, стр.1",0062,False,POINT (37.5977164 55.7434021),18,18,0,4,0
"пл. Джавахарлала Неру, д.1 (ст. м. Университет, выход №2)",0360,False,POINT (37.535463 55.693257),30,30,0,20,0
"ул. Таганская, д.31/22",0615,False,POINT (37.6699924 55.7394363),12,12,0,5,0
"пр-т Мира, д.163",0446,False,POINT (37.6541501 55.8339685),12,12,0,9,0
"пр-т Мира, д.111 (ст. м. ВДНХ, выход к Звёздному бульвару)",0444,False,POINT (37.6393391 55.8195275),12,12,0,3,0
Продольный пр-д (у главного входа ВДНХ),0466,False,POINT (37.6391911 55.825363),48,48,0,3,0
"ул. Профсоюзная, д.46, к.1",0331,False,POINT (37.557668 55.6736328),12,12,0,6,0
"ул. Профсоюзная, д.7/12",0330,False,POINT (37.5701523 55.6843417),12,12,0,6,0
"2-й Щемиловский пер., д.14",0410,False,POINT (37.6089126 55.778327),12,12,0,9,0
"ул. Дмитрия Ульянова, д.24 (ст. м. Академическая)",0397,False,POINT (37.573843 55.687648),18,18,0,13,0
"Ломоносовский пр-т (дублёр), пересечение с ул. Лебедева",0358,False,POINT (37.528489 55.698436),12,12,0,0,0
"Павелецкая пл., д.1А",0149,False,POINT (37.637229 55.7299466),12,12,0,4,0
"Чапаевский пер., д.2",0510,False,POINT (37.52036 55.80273),15,15,0,6,0
"ул. Трифоновская, д.61, к.1",0429,False,POINT (37.63324 55.7904),12,12,0,9,0
"ул. Новослободская, д.2 (ст. м. Новослободская)",0409,False,POINT (37.60095 55.77946),24,24,0,9,0
"ул. Новый Арбат, д.22",0051,False,POINT (37.58883 55.75285),12,12,0,1,0
"5-й Донской пр-д, д.15",0274,False,POINT (37.59906 55.70806),12,12,0,2,0
"ул. Генерала Ермолова, д.4",0257,False,POINT (37.51768 55.73511),12,12,0,10,0
"Ленинградский пр-т, д.73 (ст. м. Сокол, выход №1)",0509,False,POINT (37.51517 55.80443),15,15,0,11,0
"Ленинградский пр-т, д.68",0524,False,POINT (37.5212331 55.8037654),15,15,0,2,0
"ул. Куусинена, д.13",0501,False,POINT (37.51401 55.78389),15,15,0,10,0
Славянская площадь (напротив д.2),0041,False,POINT (37.634688 55.754015),15,15,0,2,0
"Никитский б-р (напротив д.8А/3,  стр.1)",0052,False,POINT (37.6014341 55.7530475),12,12,0,5,0
"ул. Садовая-Кудринская, д.1-3а",0111,False,POINT (37.5848176 55.7597006),12,12,0,2,0
"ул. Старая Басманная, д.15, стр.2 (Сад им. Баумана)",0650,False,POINT (37.660107 55.76547),15,15,0,15,0
"Нахимовский пр-т, д.11 (ст. м. Нахимовский пр-т, выход №4)",0391,False,POINT (37.6066403 55.6636625),12,12,0,8,0
"пр-т Мира, д.69, стр.1",0442,False,POINT (37.6347031 55.7865412),12,12,0,5,0
"ул. Щепкина, д.61/2, стр.22",0432,False,POINT (37.6290169 55.7886534),12,12,0,3,0
"ул. Каховка, д.10/12, к.1",0326,False,POINT (37.5807208 55.6534724),12,12,0,12,0
"ул. Азовская, д.24, корп.2 (ст. м. Каховская, выход №2)",0373,False,POINT (37.5964086 55.6523999),12,12,0,2,0
"Ленинский пр-т, д.99",0322,False,POINT (37.5201768 55.6705635),12,12,0,10,0
"ул. Каховка, д.2 (пересечение с ул. Одесской)",0327,False,POINT (37.5883617 55.6516665),12,12,0,9,0
"ул. Профсоюзная, д.82, к.1 (ст. м. Калужская)",0335,False,POINT (37.539523 55.6565141),12,12,0,1,0
"ул. Крымский Вал, д.9, стр.1 (напротив входа в Парк Горького)",0157,False,POINT (37.6048252 55.731981),44,44,0,21,0
"1-й Красногвардейский пр-д, д.13, стр.1",0251,False,POINT (37.5409806 55.7521422),12,12,0,9,0
"Варшавское ш., д.58, стр.3",0290,False,POINT (37.61995 55.66388),12,12,0,4,0
"ул. Удальцова, д.6",0285,False,POINT (37.51384 55.67341),12,12,0,7,0
"ул. Большая Переяславская, д.15",0436,False,POINT (37.64036 55.787),15,15,0,14,0
"пр-т Мира, д.122",0447,False,POINT (37.63841 55.81359),15,15,0,9,0
"Турчанинов пер., д.3, стр. 1 (ст. м. Парк Культуры)",0152,False,POINT (37.595854 55.736359),12,12,0,4,0
"Смоленская пл., д.6, стр.1 (рядом со ст. м. Смоленская)",0106,False,POINT (37.582947 55.748114),12,12,0,4,0
"ул. Крымский Вал, д.3 (ст. м. Октябрьская)",0158,False,POINT (37.6102521 55.7301022),24,24,0,3,0
"7-й Ростовский пер., д.11",0247,False,POINT (37.5728133 55.7403289),12,12,0,6,0
"Якиманская наб., д.2",0069,False,POINT (37.610879 55.7390438),18,18,0,1,0
"ул. Каретный Ряд, д.3, стр.11",0047,False,POINT (37.6116459 55.7700911),12,12,0,6,0
"Цветной б-р (напротив д.1, ст. м. Трубная)",0012,False,POINT (37.621486 55.768003),12,12,0,6,0
"ул. Велозаводская, д.11/1",0608,False,POINT (37.6663363 55.7110537),15,15,0,5,0
"ул. Селезнёвская, д.29, стр.1 (ст. м. Достоевская)",0411,False,POINT (37.6144726 55.7817849),12,12,0,4,0
"Комсомольская пл., д.5",0483,False,POINT (37.6591375 55.7766712),32,32,0,22,0
ст. м. Ботанический сад (ул. Вильгельма Пика),0452,False,POINT (37.6364267 55.8434843),12,12,0,11,0
"ул. Планетная, д.17",0529,False,POINT (37.54917 55.80034),15,15,0,15,0
"ул. Орджоникидзе, д.11, стр.1/2",0341,False,POINT (37.5943736 55.7098155),12,12,0,10,0
"Бескудниковский б-р, д.29, к.1",0454,True,POINT (37.5548583 55.8712028),12,12,0,12,0
"ул. Сущёвская, д.21, стр.10",0418,False,POINT (37.60152 55.78241),12,12,0,11,0
"Нахимовский пр-т, д.10",0289,False,POINT (37.59469 55.66734),12,12,0,3,0
"ул. Гарибальди, д.20/29, к.2",0286,False,POINT (37.54503 55.6734),12,12,0,6,0
"ул. Правды, д.24, стр.4",0427,False,POINT (37.5824392 55.78876254),15,15,0,0,0
"ул. Дубовая Роща, д.21 (платформа ""Останкино"")",0534,True,POINT (37.603052 55.818213),12,12,0,11,0
"ул. Бакунинская, д.73, стр.1",0497,False,POINT (37.69265 55.77983),12,12,0,0,0
"ул. Электрозаводская, д.21, стр.13",0496,False,POINT (37.70286 55.78491),12,12,0,5,0
"ул. Космонавтов, д.19",0486,False,POINT (37.66289 55.82139),15,15,0,15,0
"ул. Краснобогатырская, д.62",0493,False,POINT (37.7067 55.80549),12,12,0,5,0
"ул. Авиаконструктора Микояна, д.10",0503,False,POINT (37.5272596 55.7918581),15,15,0,1,0
"ул. Усачева, д. 26 (Усачёвский рынок)",0220,False,POINT (37.567605 55.727227),48,25,23,12,15
"Кудринская пл., д.46/54, стр.1",0110,False,POINT (37.584875 55.75849),12,12,0,4,0
"ул. Б. Семёновская, вл.26 (ст. м. Электрозаводская)",0543,False,POINT (37.705593 55.7819567),24,24,0,24,0
"мкрн. Чертаново Северное, д.4, к.401",0378,False,POINT (37.594296 55.636752),12,12,0,7,0
"ул. Гарибальди, д.6, к.1",0329,False,POINT (37.5372313 55.6760559),12,12,0,5,0
"пр-т Мира, д.92, стр.2 (ст. м. Рижская)",0433,False,POINT (37.635781 55.7922984),30,30,0,22,0
"Калужская пл., д.1, к.3",0304,False,POINT (37.6121883 55.7277408),12,12,0,6,0
"ул. Пятницкая, д.25, стр.1Д (рядом со ст. м. Новокузнецкая)",0076,False,POINT (37.6286203 55.7420854),16,16,0,2,0
"Бескудниковский б-р, д.35, стр.1",0425,True,POINT (37.5504943 55.8736631),15,15,0,15,0
"ул. Шаболовка, д.43, стр.5",0270,False,POINT (37.60758 55.71573),12,12,0,8,0
"Кутузовский пр-т, д.35/30",0249,False,POINT (37.5370538 55.7391344),20,20,0,0,0
"ул. Новопесчаная, д.10, стр.1",0507,False,POINT (37.5145568 55.7991006),15,15,0,8,0
"ул. Часовая, д.24, стр.3",0525,False,POINT (37.5252605 55.8112525),15,15,0,8,0
"ул. Бутырский Вал, д.32",0419,False,POINT (37.58714 55.78427),15,15,0,11,0
"ул. Кибальчича, д.9",0449,False,POINT (37.6468 55.81665),15,15,0,14,0
"пр-т Мира, д.150",0498,False,POINT (37.64387 55.82257),15,15,0,5,0
"пр-т Вернадского, д.76А",0283,False,POINT (37.49052 55.67204),15,15,0,7,0
"ул. Садовая-Кудринская, д.32, стр.2",0113,False,POINT (37.5907248 55.765695),12,12,0,2,0
"ул. Садовая-Триумфальная, д.22/31",0117,False,POINT (37.60339 55.77198),18,18,0,10,0
"Кутузовский пр-т, д.37 (ст.м. Кутузовская)",0256,False,POINT (37.5340619 55.7396177),27,27,0,10,0
"Пречистенская наб., д.15, стр.2",0063,False,POINT (37.605304 55.738605),15,15,0,6,0
ст. м. Семёновская,0540,False,POINT (37.7188593 55.7829536),24,24,0,9,0
"ул. Тверская, д.31/4, стр.2 (ст.м. Маяковская, выход на Тверскую ул.)",0045,False,POINT (37.596613 55.769393),18,18,0,17,0
"Звенигородское ш., д.15/11",0227,False,POINT (37.546261 55.764887),15,15,0,11,0
"3-й Крутицкий пер., д.13, стр.2 (ст. м. Пролетарская)",0605,False,POINT (37.664271 55.7311383),24,24,0,10,0
"ул. Симоновский Вал, д.13, к.2",0607,False,POINT (37.6639974 55.7232251),15,15,0,6,0
"пр-т Вернадского, ост. Университетский пр-т",0301,False,POINT (37.545765 55.700717),12,12,0,5,0
"Хорошёвское ш., д.82 (ст. м. Полежаевская)",0500,False,POINT (37.5212052 55.7779297),15,15,0,12,0
"Шмитовский пр-д, д.9/5",0254,False,POINT (37.55293 55.75851),12,12,0,2,0
"Ленинградский пр-т, д.49/2 (ст. м. Аэропорт)",0511,False,POINT (37.53027 55.80055),15,15,0,8,0
"ул. Преображенский Вал, д.24, к.3",0495,False,POINT (37.71599 55.7907),12,12,0,6,0
"Ленинский пр-т, д. 4 (у главного входа в МИСИС)",0154,False,POINT (37.610612 55.728329),18,18,0,11,0
"Нововаганьковский пер., д.9",0239,False,POINT (37.5659411 55.7590698),12,12,0,0,0
"Ленинский пр-т, д.33",0317,False,POINT (37.587744 55.712075),12,12,0,6,0
"ул. Профсоюзная, д.104 (ст. м. Беляево, южный вестибюль)",0334,False,POINT (37.5256107 55.6420084),12,12,0,11,0
"ул. Криворожская, д.33Г",0353,False,POINT (37.6090521 55.6716545),12,12,0,7,0
"ул. Академика Королёва, д.12А",0473,False,POINT (37.6042362 55.8218703),12,12,0,10,0
"ул. Милашенкова, д.1 (ст. м. Фонвизинская)",0538,False,POINT (37.589078 55.8218449),24,24,0,14,0
