Address,Id,IsLocked,Geom,TotalPlaces,TotalOrdinaryPlaces,TotalElectricPlaces,FreeOrdinaryPlaces,FreeElectricPlaces
"Москворецкая наб. (Китайгородский пр., д.9, стр.2)",0023,False,POINT (37.632794 55.749635),21,21,0,8,0
"ул. Маросейка, д.9",0038,False,POINT (37.634929 55.7576991),12,12,0,9,0
"ул. Пятницкая, д.42",0077,True,POINT (37.628275 55.737812),10,10,0,4,0
"ул. Краснопролетарская (напротив д.2/4, стр.3)",0119,False,POINT (37.6086074 55.7735332),12,12,0,3,0
"ул. Большая Полянка, д.33/41, стр.1",0073,False,POINT (37.6195157 55.7362414),12,12,0,4,0
"Кутузовский пр-т, д.7/4, стр.1",0246,False,POINT (37.5622227 55.7490298),12,12,0,6,0
"Нахимовский пр-т, д.24",0363,False,POINT (37.5838691 55.6712381),12,12,0,8,0
"ул. Марии Ульяновой, д.16",0364,False,POINT (37.5201069 55.6836121),12,12,0,5,0
"ул. Гарибальди, д.1А",0365,False,POINT (37.5326129 55.6787267),12,12,0,7,0
"Нагорный б-р, д.7",0366,False,POINT (37.5950285 55.6731877),12,12,0,11,0
"Севастопольский пр-т, д.28, к.4",0367,False,POINT (37.5766175 55.6620326),12,12,0,3,0
"Симферопольский б-р, д.4",0368,False,POINT (37.6080312 55.6592363),12,12,0,3,0
"ул. Воронцовские Пруды, д.3",0370,False,POINT (37.5389143 55.6649089),12,12,0,9,0
"ул. Новочерёмушкинская, д.71/32",0371,False,POINT (37.5595989 55.6608021),12,12,0,1,0
"ул. Тверская, д.8",0029,False,POINT (37.60962 55.762079),20,20,0,10,0
"Ломоносовский пр-т (дублёр), д.27",0357,False,POINT (37.523769 55.699342),12,12,0,6,0
"Большой Патриарший пер., д.7",0043,False,POINT (37.59311 55.763584),12,12,0,9,0
"ул. Каховка, д.29А",0372,False,POINT (37.5704328 55.656695),12,12,0,6,0
"ул. Обручева, д.33А",0374,False,POINT (37.5529893 55.6512748),12,12,0,3,0
"ул. Обручева, д.65/54",0375,False,POINT (37.5639941 55.6502405),12,12,0,9,0
"Балаклавский пр-т, д.34, к.1",0376,False,POINT (37.5820766 55.6450878),12,12,0,5,0
"ул. Академика Волгина, д.21",0381,False,POINT (37.5137244 55.6477514),12,12,0,1,0
"ул. Островитянова, д.7",0385,False,POINT (37.4953587 55.6440884),12,12,0,5,0
"ул. Советской Армии, д.2, стр.1",0420,False,POINT (37.6163822 55.785259),12,12,0,4,0
