code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
72,4802,30,4629,153,POINT (37.612528 55.730772),20,"ул. Большая Якиманка, д.16 (ст.м.Октябрьская)",2829,61,19
73,3180,25,3148,126,POINT (37.61947 55.73623),12,"ул. Большая Полянка, д.33/41, стр.1",1263,40,23
74,2130,14,2081,151,POINT (37.620381 55.732181),12,"ул. Большая Полянка, д.50/1, стр.1",970,47,26
75,8753,56,8616,153,POINT (37.625638 55.740815),12,"Климентовский пер., д.23, стр.1 (ст.м.Третьяковская)",3951,46,22
76,6744,54,6633,122,POINT (37.628651 55.741485),16,"ул. Пятницкая, д.25, стр.1Д",2931,44,22
77,2310,14,2188,153,POINT (37.628275 55.737812),10,"ул. Пятницкая, д.42",1179,54,23
78,3214,28,3192,113,POINT (37.627651 55.735363),12,"ул. Пятницкая, д.48, стр.1",1212,38,24
80,2699,27,2653,99,POINT (37.626464 55.745814),12,"ул. Пятницкая, д.2/38",1387,52,13
81,1136,11,1076,98,POINT (37.633294 55.739877),12,"ул. Большая Татарская, д.19/13",405,38,22
84,1371,14,1359,98,POINT (37.635113 55.737552),12,"ул. Большая Татарская, д.35",348,26,11
85,1117,13,1028,82,POINT (37.645381 55.748229),12,"Котельническая наб., д.1",562,55,17
100,15023,98,15040,153,POINT (37.593281 55.735194),40,"Зубовский б-р, д.5, стр.3 (ст.м.Парк Культуры)",6893,46,25
102,2529,16,2458,152,POINT (37.585594 55.738107),12,"Зубовская пл., д.3, стр.1",1274,52,21
103,1167,15,1249,84,POINT (37.584668 55.74049),12,"Смоленский б-р, д.3/5",645,52,10
104,3421,24,3597,153,POINT (37.585123 55.742153),12,"Смоленский б-р, д.22/14",1363,38,22
106,6097,39,6002,153,POINT (37.583095 55.74913),24,"Смоленская пл., д.6",2632,44,19
108,1550,15,1682,113,POINT (37.583633 55.756668),12,"Новинский б-р, д.27, стр.2",806,48,18
110,1956,15,2105,144,POINT (37.584637 55.757231),12,"Новинский б-р (напротив д.28/35, стр.1А)",1064,51,19
