code,arrivals,average,departures,dayscount_total,geom,slots,name,unique_clients,unique_rides,roundtrips
407,799,12,830,69,POINT (37.607856 55.780651),12,"ул. Селезневская, д.28",394,47,9
408,1077,18,1160,66,POINT (37.596 55.784),12,"ул. Лесная, д.63/43, стр.2",541,47,12
410,1026,13,1113,85,POINT (37.608918 55.778385),12,"2-й Щемиловский пер., 14",293,26,19
411,2130,21,2313,112,POINT (37.613739 55.78141),12,"ул. Селезнёвская, д.29, стр.1",963,42,22
413,1962,16,1959,125,POINT (37.60455 55.78935),12,"ул. Новосущёвская, д.22, стр.8",620,32,27
414,1442,13,1462,109,POINT (37.609931 55.789173),12,"ул. Образцова, д.19А",368,25,20
415,2891,27,3068,112,POINT (37.590904 55.791374),12,"ул. Сущёвский Вал, д.2",935,30,17
416,1290,16,1324,83,POINT (37.602809 55.792434),12,"ул. Сущёвский Вал, д.16, стр.1",380,29,9
417,1895,19,1941,104,POINT (37.617156 55.793457),12,"ул. Шереметьевская, д.2",785,40,17
420,900,8,892,108,POINT (37.616504 55.785259),12,"ул. Советской Армии, д.2, стр.1",519,58,25
421,1015,9,1038,112,POINT (37.616722 55.787712),12,"ул. Советской Армии, д.8",414,40,18
422,1432,13,1473,112,POINT (37.616046 55.792575),12,"ул. Советской Армии, д.17/52",617,42,25
423,1569,17,1575,92,POINT (37.61539 55.802913),12,"ул. Шереметьевская, д.27",549,35,13
430,1344,16,1352,86,POINT (37.622634 55.779102),12,"Олимпийский пр-т, д.14",509,38,15
431,1528,13,1524,121,POINT (37.62249 55.786079),12,"Олимпийский пр-т, д.22",498,33,25
432,1747,14,1745,121,POINT (37.629087 55.788602),12,"ул. Щепкина, д.61/2, стр.22",584,33,27
439,373,8,434,53,POINT (37.632133 55.776031),12,"пр-т Мира, д.11",204,47,7
440,1137,11,1247,112,POINT (37.633319 55.779945),12,"пр-т Мира, д.40",652,52,21
441,2970,24,3112,129,POINT (37.63172 55.781495),12,"пр-т Мира, д.41, стр.2",917,29,29
442,1234,11,1278,115,POINT (37.63508 55.78689),12,"пр-т Мира, д.69, стр.1",556,44,28
443,2007,21,2034,99,POINT (37.636617 55.808565),12,"пр-т Мира, д.97",892,44,21
444,3453,35,3517,100,POINT (37.638457 55.819404),12,"пр-т Мира, д.111",1400,40,15
445,807,11,744,68,POINT (37.64722 55.827526),12,"ул. Сергея Эйзенштейна, д.1",471,63,30
446,1430,13,1345,100,POINT (37.654231 55.834408),12,"пр-т Мира, д.163",618,46,43
450,1171,12,1208,99,POINT (37.637439 55.833338),12,"ул. Сергея Эйзенштейна, д.8",491,41,24
451,906,9,879,97,POINT (37.636551 55.837144),12,"ул. Сельскохозяйственная, д.17, корп.1",455,52,28
452,746,12,768,65,POINT (37.637 55.843),12,ст.м.Ботанический сад,362,47,29
453,1425,22,1463,66,POINT (37.59 55.856),12,ст.м.Владыкино,659,45,28
460,917,9,1074,114,POINT (37.650009 55.769321),12,"ул.Садовая-Спасская, д.21/1",489,46,32
461,1294,12,1310,111,POINT (37.646671 55.771965),12,"Орликов пер., д.3, стр.7  (со стороны пр. Академика Сахарова)",409,31,18
462,1485,13,1496,113,POINT (37.65459 55.772518),12,"Рязанский пр., Комсомольская пл., д.2",670,45,26
463,1259,14,1282,93,POINT (37.650337 55.776218),12,"ул. Каланчёвская, д.10, стр.3",448,35,10
464,3762,40,3619,90,POINT (37.601039 55.830195),21,"ул. Ботаническая, д. 4, стр. 6",1616,45,37
465,2173,25,2111,85,POINT (37.617248 55.824314),12,"1-я Останкинская ул., д.1",1108,52,36
466,5417,51,5315,104,POINT (37.639128 55.825361),36,Продольный пр-д (у главного входа ВДНХ),2758,52,39
467,4397,43,4368,102,POINT (37.635295 55.826453),12,Территория ВДНХ (слева от главного входа),2580,59,48
468,3161,32,3148,99,POINT (37.617568 55.830492),12,Территория ВДНХ (кафе Шашлычок),1719,55,25
469,5237,52,5219,101,POINT (37.617668 55.837524),12,Территория ВДНХ (у прудов),2441,47,30
470,2556,24,2544,104,POINT (37.6236 55.821685),12,"ул. Академика Королева, д.8А",967,38,24
471,2023,20,2062,102,POINT (37.610488 55.821743),12,"ул. Академика Королева, д.12Б",939,46,20
472,1692,16,1665,104,POINT (37.630187 55.815486),12,"Звёздный б-р, д.18/1",493,30,27
473,1025,16,1043,66,POINT (37.604133 55.821704),12,"ул. Академика Королева, д.12А",367,35,14
474,1035,14,957,69,POINT (37.634063 55.82344),12,"ул. 1-я Останкинская, д.55",638,67,28
480,1264,14,1348,99,POINT (37.580688 55.820725),12,"ул. Яблочкова, д.18",487,36,25
481,1487,15,1446,99,POINT (37.580408 55.827897),12,"ул. Милашенкова, д.12Д",400,28,26
482,717,8,817,97,POINT (37.594597 55.813304),12,"ул. Руставели, д.12/13",289,35,26
483,751,17,795,47,POINT (37.659304 55.776629),32,"Комсомольская пл., д.5",326,41,14
484,767,11,772,69,POINT (37.588375 55.812377),12,"ул. Руставели (напротив д.6, к.5)",308,40,35
485,550,9,594,64,POINT (37.574 55.819),12,ст.м.Тимирязевская,268,45,41
