code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
16;6008;42;6407;153;POINT (37.639141 55.764719);10;Чистопрудный б-р (ст.м.Чистые пруды);2788;44;18;12415;41,87581699;81,14379085
17;2498;19;2846;152;POINT (37.641142 55.76362);8;Чистопрудный б-р (напротив  д.8, стр.1);1502;53;21;5344;18,72368421;35,15789474
18;6382;43;6606;153;POINT (37.64553 55.760306);14;Чистопрудный б-р (напротив д.12, стр.1);2613;40;21;12988;43,17647059;84,88888889
19;1740;12;1868;153;POINT (37.647211 55.757313);8;Покровский б-р (напротив д.8, стр.1);829;44;22;3608;12,20915033;23,58169935
20;1502;11;1622;152;POINT (37.648355 55.755462);8;Покровский б-р (напротив д.12, стр.1);855;53;19;3124;10,67105263;20,55263158
21;2446;16;2431;152;POINT (37.64735 55.753328);8;Покровский б-р (напротив д.18, стр.18);1234;51;22;4877;15,99342105;32,08552632
22;3500;21;3284;153;POINT (37.638839 55.748139);12;Москворецкая наб., д.2А, стр.1;1738;53;20;6784;21,46405229;44,33986928
23;1974;12;1797;144;POINT (37.632794 55.749635);12;Москворецкая наб., д.9, стр.2;1357;76;20;3771;12,47916667;26,1875
24;4823;31;4657;152;POINT (37.609394 55.745976);12;Пречистенская наб., д.45/1, стр.2А;2998;64;22;9480;30,63815789;62,36842105
25;3391;21;3135;151;POINT (37.608481 55.7445);12;Пречистенская наб., д.15, стр.1 (у Патриаршего моста);2176;69;21;6526;20,7615894;43,21854305
26;3075;20;3049;152;POINT (37.605561 55.746428);12;ул. Волхонка, д.14, стр. 6 (Пушкинский музей);1900;62;22;6124;20,05921053;40,28947368
27;1752;16;1758;108;POINT (37.60477 55.756744);12;ул. Большая Никитская (напротив д.13);801;46;24;3510;16,27777778;32,5
28;4780;30;4557;153;POINT (37.612264 55.754864);12;ул. Моховая, д.11;2826;62;20;9337;29,78431373;61,02614379
29;2928;21;3244;153;POINT (37.60962 55.762079);20;ул. Тверская, д.8;1733;53;22;6172;21,20261438;40,33986928
30;4421;28;4296;153;POINT (37.612442 55.759361);14;Камергерский пер., д.4;2378;55;22;8717;28,07843137;56,97385621
31;3118;18;2786;153;POINT (37.616547 55.759165);12;ул. Большая Дмитровка, д.2;1622;58;24;5904;18,20915033;38,58823529
32;2549;15;2288;153;POINT (37.615807 55.759865);12;ул. Большая Дмитровка, д.5/6, стр.5;1325;58;22;4837;14,95424837;31,61437908
33;2938;19;2850;153;POINT (37.617189 55.763147);10;Столешников пер. (напротив д.11);1370;48;21;5788;18,62745098;37,83006536
35;5331;35;5279;153;POINT (37.622831 55.761917);18;ул. Кузнецкий мост, д.13/9, стр.1;2862;54;23;10610;34,50326797;69,34640523
36;1270;12;1344;113;POINT (37.628345 55.763252);12;Варсонофьевский пер., д.12;679;51;20;2614;11,89380531;23,13274336
38;4990;33;5004;153;POINT (37.636136 55.757758);12;ул. Маросейка, д.19;2414;48;19;9994;32,70588235;65,32026144
39;3839;27;4139;153;POINT (37.642574 55.759038);22;ул. Покровка, д.7/9-11;1885;46;18;7978;27,05228758;52,14379085
40;2452;15;2240;152;POINT (37.638475 55.752753);12;ул. Солянка (напротив д.8);1425;64;22;4692;14,73684211;30,86842105
