code;arrivals;average;departures;dayscount_total;geom;slots;name;unique_clients;unique_rides;roundtrips;arr_p_dep;dep_per_days;av_p_dep__per_days
349;5330;35;5377;152;POINT (37.535522 55.706203);12;Университетский пр-т (напротив ГЗ МГУ);3207;60;40;10707;35,375;70,44078947
350;4130;27;4175;153;POINT (37.562406 55.691564);15;ул. Вавилова, д.55/7;1389;33;25;8305;27,2875817;54,28104575
351;5180;34;5278;153;POINT (37.572092 55.688317);12;ул. Дмитрия Ульянова, д.20;1747;33;27;10458;34,49673203;68,35294118
352;7521;50;7671;153;POINT (37.528497 55.703177);24;ул. Академика Хохлова (рядом с ГЗ МГУ);1658;22;25;15192;50,1372549;99,29411765
353;939;9;983;105;POINT (37.608993 55.671798);12;ул. Криворожская, д.33Г;408;42;31;1922;9,361904762;18,3047619
354;2046;16;1944;120;POINT (37.507289 55.710413);12;Ломоносовский пр-т, д.43/40;711;37;37;3990;16,2;33,25
355;3655;23;3476;152;POINT (37.514291 55.705293);12;Ломоносовский пр-т, д.29, корп.3;1253;36;27;7131;22,86842105;46,91447368
356;2464;19;2881;152;POINT (37.522672 55.701742);12;Ломоносовский пр-т (дублер), пересечение с ул. Менделеева;1326;46;25;5345;18,95394737;35,16447368
357;1496;11;1722;152;POINT (37.523769 55.699342);12;Ломоносовский пр-т (дублер), д.27;690;40;20;3218;11,32894737;21,17105263
358;3105;21;3265;152;POINT (37.528489 55.698436);12;Ломоносовский пр-т (дублер), пересечение с ул. Лебедева;1177;36;28;6370;21,48026316;41,90789474
359;3099;29;4362;150;POINT (37.534131 55.694653);18;Ломоносовский пр-т (дублер, напротив д.1, стр.64);1790;41;14;7461;29,08;49,74
360;9783;70;10722;153;POINT (37.535269 55.693169);18;пл. Джавахарлала Неру, д.1;3018;28;17;20505;70,07843137;134,0196078
361;1585;13;1553;118;POINT (37.552045 55.684712);12;Ломоносовский пр-т, д.2/62, стр.8;719;46;18;3138;13,16101695;26,59322034
362;3214;21;3133;150;POINT (37.56205 55.678678);15;Нахимовский пр-т, д.46;1316;42;27;6347;20,88666667;42,31333333
363;1957;15;1958;128;POINT (37.582721 55.671656);12;Нахимовский пр-т, д.24;646;33;22;3915;15,296875;30,5859375
364;1942;14;1893;132;POINT (37.519887 55.683724);12;ул. Марии Ульяновой, д.16;718;38;41;3835;14,34090909;29,0530303
365;1469;12;1565;127;POINT (37.532632 55.678715);12;ул. Гарибальди, д.1А;692;44;19;3034;12,32283465;23,88976378
367;1581;13;1466;113;POINT (37.576526 55.661945);12;Севастопольский пр-т, д.28, корп.4;470;32;29;3047;12,97345133;26,96460177
368;991;9;960;106;POINT (37.608093 55.659191);12;Симферопольский б-р, д.4;383;40;35;1951;9,056603774;18,40566038
369;1923;15;1946;129;POINT (37.519698 55.671388);12;ул. Удальцова, д.2;826;42;33;3869;15,08527132;29,99224806
370;2597;20;2627;130;POINT (37.53734 55.66462);12;ул. Воронцовские Пруды, д.3;933;36;44;5224;20,20769231;40,18461538
371;2343;20;2313;113;POINT (37.559341 55.660896);12;ул. Новочерёмушкинская, д.71/32;540;23;19;4656;20,46902655;41,20353982
372;2250;19;2169;113;POINT (37.570446 55.656726);12;ул. Каховка, д.29А;743;34;22;4419;19,19469027;39,10619469
373;3123;32;3177;98;POINT (37.596253 55.652451);12;ул. Азовская, д.24, корп.2;871;27;18;6300;32,41836735;64,28571429
374;1511;14;1607;111;POINT (37.552978 55.651252);12;ул. Обручева, д.33А;367;23;15;3118;14,47747748;28,09009009
375;2145;19;2150;113;POINT (37.564201 55.650211);12;ул. Обручева, д.65/54;627;29;27;4295;19,02654867;38,00884956
376;841;8;761;94;POINT (37.582171 55.645488);12;Балаклавский пр-т, д.34, корп.1;391;51;39;1602;8,095744681;17,04255319
377;2888;18;2705;152;POINT (37.604772 55.639828);12;ст.м.Чертановская;1143;42;49;5593;17,79605263;36,79605263
378;2243;14;2166;150;POINT (37.594467 55.636711);12;мкрн. Чертаново Северное, д.4, корп.401;861;40;51;4409;14,44;29,39333333
379;1874;12;1840;150;POINT (37.541047 55.642389);12;ул. Введенского, д.13А;582;32;41;3714;12,26666667;24,76
380;1601;13;1627;126;POINT (37.500151 55.653506);12;ул. Миклухо-Маклая, д.6;592;36;39;3228;12,91269841;25,61904762
381;1237;13;1280;97;POINT (37.512929 55.648343);12;ул. Академика Волгина, д.21;399;31;14;2517;13,19587629;25,94845361
382;2322;19;2781;146;POINT (37.526619 55.641944);12;ул. Профсоюзная, д.91 (ст.м.Беляево);1066;38;26;5103;19,04794521;34,95205479
383;3229;21;3118;150;POINT (37.542572 55.637608);12;ул. Миклухо-Маклая, д.44 (вход в Битцевский парк);1361;44;53;6347;20,78666667;42,31333333
384;1139;11;1106;101;POINT (37.530773 55.634258);12;ул. Введенского, д.32;313;28;35;2245;10,95049505;22,22772277
385;1208;10;1149;115;POINT (37.495132 55.643985);12;ул. Островитянова, д.7;440;38;46;2357;9,991304348;20,49565217
386;982;12;1145;93;POINT (37.519916 55.634468);12;ул. Островитянова, д.29/120;526;46;18;2127;12,31182796;22,87096774
387;1211;11;1353;124;POINT (37.520416 55.63376);12;ул. Профсоюзная, д.109, Вс.1 (ст.м.Коньково);631;47;36;2564;10,91129032;20,67741935
388;1318;13;1288;96;POINT (37.619266 55.645199);12;Варшавское ш., д.100;493;38;62;2606;13,41666667;27,14583333
389;1235;13;1244;96;POINT (37.495249 55.655932);12;ул. 26-ти Бакинских Комиссаров, д.2Б;507;41;24;2479;12,95833333;25,82291667
390;1332;13;1306;98;POINT (37.518875 55.652432);12;ул. Академика Волгина, д.6;410;31;20;2638;13,32653061;26,91836735
391;1333;13;1278;97;POINT (37.606796 55.663717);12;Нахимовский пр-т, д.11;538;42;20;2611;13,17525773;26,91752577
392;487;5;428;81;POINT (37.603679 55.675312);12;ул. Ремизова, д.15;179;42;31;915;5,283950617;11,2962963
393;1965;20;1927;98;POINT (37.571113 55.674873);12;Нахимовский пр-т, д.45, стр.1;665;35;17;3892;19,66326531;39,71428571
394;2003;23;1985;86;POINT (37.562854 55.67741);12;ул. Профсоюзная, д.21/51;875;44;12;3988;23,08139535;46,37209302
395;2277;23;2243;98;POINT (37.582777 55.684571);12;ул. Дмитрия Ульянова, д.32А;727;32;27;4520;22,8877551;46,12244898
396;1156;11;1049;96;POINT (37.595485 55.679562);12;ул. Дмитрия Ульянова, д.46;412;39;19;2205;10,92708333;22,96875
397;3432;38;3551;94;POINT (37.574462 55.688201);12;пр-т 60-летия Октября, д. 31/18, к.1, стр.2;1212;34;16;6983;37,77659574;74,28723404
398;958;14;950;69;POINT (37.618324 55.653102);12;Чонгарский б-р, д.1, к.1;360;38;20;1908;13,76811594;27,65217391
399;535;8;522;67;POINT (37.605651 55.653751);12;Симферопольский б-р, д.15, к.5;220;42;26;1057;7,791044776;15,7761194
400;2267;17;2553;153;POINT (37.596383 55.772581);12;ул. 3-я Тверская-Ямская, д.20, стр.1;852;33;19;4820;16,68627451;31,50326797
401;2256;16;2500;153;POINT (37.590094 55.775131);12;ул. 2-я Тверская-Ямская, д.54;1014;41;23;4756;16,33986928;31,08496732
402;4829;34;5208;153;POINT (37.586711 55.777569);12;ул. Лесная, д.6;1749;34;19;10037;34,03921569;65,60130719
403;2837;20;3110;153;POINT (37.599736 55.774292);12;ул. Фадеева, д.4;862;28;25;5947;20,32679739;38,86928105
405;3526;27;3594;131;POINT (37.592347 55.781335);12;ул. Новолесная, д.1/49;900;25;25;7120;27,4351145;54,35114504
407;799;12;830;69;POINT (37.607856 55.780651);12;ул. Селезневская, д.28;394;47;9;1629;12,02898551;23,60869565
408;1077;18;1160;66;POINT (37.596 55.784);12;ул. Лесная, д.63/43, стр.2;541;47;12;2237;17,57575758;33,89393939
410;1026;13;1113;85;POINT (37.608918 55.778385);12;2-й Щемиловский пер., 14;293;26;19;2139;13,09411765;25,16470588
411;2130;21;2313;112;POINT (37.613739 55.78141);12;ул. Селезнёвская, д.29, стр.1;963;42;22;4443;20,65178571;39,66964286
413;1962;16;1959;125;POINT (37.60455 55.78935);12;ул. Новосущёвская, д.22, стр.8;620;32;27;3921;15,672;31,368
414;1442;13;1462;109;POINT (37.609931 55.789173);12;ул. Образцова, д.19А;368;25;20;2904;13,41284404;26,64220183
415;2891;27;3068;112;POINT (37.590904 55.791374);12;ул. Сущёвский Вал, д.2;935;30;17;5959;27,39285714;53,20535714
416;1290;16;1324;83;POINT (37.602809 55.792434);12;ул. Сущёвский Вал, д.16, стр.1;380;29;9;2614;15,95180723;31,4939759
417;1895;19;1941;104;POINT (37.617156 55.793457);12;ул. Шереметьевская, д.2;785;40;17;3836;18,66346154;36,88461538
420;900;8;892;108;POINT (37.616504 55.785259);12;ул. Советской Армии, д.2, стр.1;519;58;25;1792;8,259259259;16,59259259
421;1015;9;1038;112;POINT (37.616722 55.787712);12;ул. Советской Армии, д.8;414;40;18;2053;9,267857143;18,33035714
422;1432;13;1473;112;POINT (37.616046 55.792575);12;ул. Советской Армии, д.17/52;617;42;25;2905;13,15178571;25,9375
423;1569;17;1575;92;POINT (37.61539 55.802913);12;ул. Шереметьевская, д.27;549;35;13;3144;17,11956522;34,17391304
430;1344;16;1352;86;POINT (37.622634 55.779102);12;Олимпийский пр-т, д.14;509;38;15;2696;15,72093023;31,34883721
431;1528;13;1524;121;POINT (37.62249 55.786079);12;Олимпийский пр-т, д.22;498;33;25;3052;12,59504132;25,2231405
432;1747;14;1745;121;POINT (37.629087 55.788602);12;ул. Щепкина, д.61/2, стр.22;584;33;27;3492;14,4214876;28,85950413
439;373;8;434;53;POINT (37.632133 55.776031);12;пр-т Мира, д.11;204;47;7;807;8,188679245;15,22641509
440;1137;11;1247;112;POINT (37.633319 55.779945);12;пр-т Мира, д.40;652;52;21;2384;11,13392857;21,28571429
441;2970;24;3112;129;POINT (37.63172 55.781495);12;пр-т Мира, д.41, стр.2;917;29;29;6082;24,12403101;47,14728682
442;1234;11;1278;115;POINT (37.63508 55.78689);12;пр-т Мира, д.69, стр.1;556;44;28;2512;11,11304348;21,84347826
443;2007;21;2034;99;POINT (37.636617 55.808565);12;пр-т Мира, д.97;892;44;21;4041;20,54545455;40,81818182
444;3453;35;3517;100;POINT (37.638457 55.819404);12;пр-т Мира, д.111;1400;40;15;6970;35,17;69,7
445;807;11;744;68;POINT (37.64722 55.827526);12;ул. Сергея Эйзенштейна, д.1;471;63;30;1551;10,94117647;22,80882353
446;1430;13;1345;100;POINT (37.654231 55.834408);12;пр-т Мира, д.163;618;46;43;2775;13,45;27,75
450;1171;12;1208;99;POINT (37.637439 55.833338);12;ул. Сергея Эйзенштейна, д.8;491;41;24;2379;12,2020202;24,03030303
451;906;9;879;97;POINT (37.636551 55.837144);12;ул. Сельскохозяйственная, д.17, корп.1;455;52;28;1785;9,06185567;18,40206186
452;746;12;768;65;POINT (37.637 55.843);12;ст.м.Ботанический сад;362;47;29;1514;11,81538462;23,29230769
453;1425;22;1463;66;POINT (37.59 55.856);12;ст.м.Владыкино;659;45;28;2888;22,16666667;43,75757576
460;917;9;1074;114;POINT (37.650009 55.769321);12;ул.Садовая-Спасская, д.21/1;489;46;32;1991;9,421052632;17,46491228
461;1294;12;1310;111;POINT (37.646671 55.771965);12;Орликов пер., д.3, стр.7  (со стороны пр. Академика Сахарова);409;31;18;2604;11,8018018;23,45945946
462;1485;13;1496;113;POINT (37.65459 55.772518);12;Рязанский пр., Комсомольская пл., д.2;670;45;26;2981;13,23893805;26,38053097
463;1259;14;1282;93;POINT (37.650337 55.776218);12;ул. Каланчёвская, д.10, стр.3;448;35;10;2541;13,78494624;27,32258065
464;3762;40;3619;90;POINT (37.601039 55.830195);21;ул. Ботаническая, д. 4, стр. 6;1616;45;37;7381;40,21111111;82,01111111
465;2173;25;2111;85;POINT (37.617248 55.824314);12;1-я Останкинская ул., д.1;1108;52;36;4284;24,83529412;50,4
466;5417;51;5315;104;POINT (37.639128 55.825361);36;Продольный пр-д (у главного входа ВДНХ);2758;52;39;10732;51,10576923;103,1923077
467;4397;43;4368;102;POINT (37.635295 55.826453);12;Территория ВДНХ (слева от главного входа);2580;59;48;8765;42,82352941;85,93137255
468;3161;32;3148;99;POINT (37.617568 55.830492);12;Территория ВДНХ (кафе Шашлычок);1719;55;25;6309;31,7979798;63,72727273
469;5237;52;5219;101;POINT (37.617668 55.837524);12;Территория ВДНХ (у прудов);2441;47;30;10456;51,67326733;103,5247525
470;2556;24;2544;104;POINT (37.6236 55.821685);12;ул. Академика Королева, д.8А;967;38;24;5100;24,46153846;49,03846154
471;2023;20;2062;102;POINT (37.610488 55.821743);12;ул. Академика Королева, д.12Б;939;46;20;4085;20,21568627;40,04901961
472;1692;16;1665;104;POINT (37.630187 55.815486);12;Звёздный б-р, д.18/1;493;30;27;3357;16,00961538;32,27884615
473;1025;16;1043;66;POINT (37.604133 55.821704);12;ул. Академика Королева, д.12А;367;35;14;2068;15,8030303;31,33333333
474;1035;14;957;69;POINT (37.634063 55.82344);12;ул. 1-я Останкинская, д.55;638;67;28;1992;13,86956522;28,86956522
480;1264;14;1348;99;POINT (37.580688 55.820725);12;ул. Яблочкова, д.18;487;36;25;2612;13,61616162;26,38383838
481;1487;15;1446;99;POINT (37.580408 55.827897);12;ул. Милашенкова, д.12Д;400;28;26;2933;14,60606061;29,62626263
482;717;8;817;97;POINT (37.594597 55.813304);12;ул. Руставели, д.12/13;289;35;26;1534;8,422680412;15,81443299
483;751;17;795;47;POINT (37.659304 55.776629);32;Комсомольская пл., д.5;326;41;14;1546;16,91489362;32,89361702
484;767;11;772;69;POINT (37.588375 55.812377);12;ул. Руставели (напротив д.6, к.5);308;40;35;1539;11,1884058;22,30434783
485;550;9;594;64;POINT (37.574 55.819);12;ст.м.Тимирязевская;268;45;41;1144;9,28125;17,875
