"id";"geom";"address";"is_locked";"station_type";"totalplaces";"rides_per_day"
"226";"POINT (37.5605165 55.7540692)";"Краснопресненская наб., д.10, стр.5";"False";"Велосипед";"21";
"440";"POINT (37.6334722 55.7804054)";"пр-т Мира, д.40 (рядом со ст. м. Проспект Мира (кольцевая))";"False";"Велосипед";"12";
"48";"POINT (37.5943833 55.7712466)";"1-я Тверская-Ямская ул., д.4 (ст. м. Маяковская, выход на 1-ю Тверскую-Ямскую ул.)";"False";"Велосипед";"18";
"447";"POINT (37.63841 55.81359)";"пр-т Мира, д.122";"False";"Велосипед";"15";
"57";"POINT (37.6328433 55.748202)";"Раушская наб., д.14";"False";"Велосипед";"12";
"602";"POINT (37.6606868 55.7301414)";"ул. Симоновский Вал, д.2";"False";"Велосипед";"15";
"506";"POINT (37.5198 55.78611)";"пр-д Берёзовой Рощи, д.2";"True";"Велосипед";"15";
"331";"POINT (37.557668 55.6736328)";"ул. Профсоюзная, д.46, к.1";"False";"Велосипед";"12";
"251";"POINT (37.5409806 55.7521422)";"1-й Красногвардейский пр-д, д.13, стр.1";"False";"Велосипед";"12";
"104";"POINT (37.5852946 55.7414275)";"Смоленский б-р, д.22/14";"False";"Велосипед";"18";
"5";"POINT (37.5999825 55.7553104)";"Никитский б-р (напротив д.11/12, стр.3)";"False";"Велосипед";"12";
"456";"POINT (37.6726 55.77471)";"ул. Нижняя Красносельская, д.40/12, к.11";"False";"Велосипед";"15";
"315";"POINT (37.605352 55.724388)";"Ленинский пр-т, д.9, стр.3";"False";"Велосипед";"12";
"366";"POINT (37.5950285 55.6731877)";"Нагорный б-р, д.7";"False";"Велосипед";"12";
"307";"POINT (37.5775101 55.7012679)";"ул. Вавилова, д.24";"False";"Велосипед";"12";
"397";"POINT (37.573843 55.687648)";"ул. Дмитрия Ульянова, д.24 (ст. м. Академическая)";"False";"Велосипед";"18";
"531";"POINT (37.55366 55.79435)";"Дворцовая аллея (Пл. Космонавта Комарова)";"False";"Велосипед";"15";
"427";"POINT (37.5824392 55.78876254)";"ул. Правды, д.24, стр.4";"False";"Велосипед";"15";
"604";"POINT (37.665312 55.7323179)";"ул. Воронцовская, д.50 (ст. м. Крестьянская Застава)";"False";"Велосипед";"15";
"283";"POINT (37.49052 55.67204)";"пр-т Вернадского, д.76А";"False";"Велосипед";"15";
"347";"POINT (37.5890604 55.6914923)";"ул. Шверника, д.13, к.1";"True";"Велосипед";"12";
"54";"POINT (37.592209 55.747411)";"пер. Сивцев Вражек, д.26, стр.1";"False";"Велосипед";"12";
"305";"POINT (37.5745946 55.678373)";"ул. Кржижановского, вл.22, стр.2";"False";"Велосипед";"12";
"4";"POINT (37.5874544 55.7591806)";"ул. Малая Никитская, д.24, стр.2";"False";"Велосипед";"12";
"321";"POINT (37.540695 55.6841473)";"Ленинский пр-т, д.79";"False";"Велосипед";"12";
"35";"POINT (37.623177 55.762217)";"ул. Кузнецкий мост, д.13/9, стр.1";"False";"Велосипед";"18";
"472";"POINT (37.6299313 55.8154706)";"Звёздный б-р, д.18/1";"False";"Велосипед";"12";
"444";"POINT (37.6393391 55.8195275)";"пр-т Мира, д.111 (ст. м. ВДНХ, выход к Звёздному бульвару)";"False";"Велосипед";"12";
"6";"POINT (37.598667 55.757163)";"Никитский б-р (напротив д.23/14/9)";"False";"Велосипед";"15";
"446";"POINT (37.6541501 55.8339685)";"пр-т Мира, д.163";"False";"Велосипед";"12";
"537";"POINT (37.6011372 55.8142078)";"ул. Руставели, д.19 (ст. м.  Бутырская)";"False";"Велосипед";"24";
"445";"POINT (37.647529 55.8277664)";"ул. Сергея Эйзенштейна, д.1";"False";"Велосипед";"12";
"86";"POINT (37.5916535 55.7724933)";"1-я Тверская-Ямская ул., д.11";"False";"Велосипед";"15";
"252";"POINT (37.5862313 55.7344493)";"ул. Льва Толстого (напротив д.21)";"False";"Велосипед";"8";
"343";"POINT (37.554776 55.706491)";"ул. Косыгина, д.18, стр.1";"False";"Велосипед";"24";
"363";"POINT (37.5838691 55.6712381)";"Нахимовский пр-т, д.24";"False";"Велосипед";"12";
"285";"POINT (37.51384 55.67341)";"ул. Удальцова, д.6";"False";"Велосипед";"12";
"327";"POINT (37.5883617 55.6516665)";"ул. Каховка, д.2 (пересечение с ул. Одесской)";"False";"Велосипед";"12";
"253";"POINT (37.59244 55.73208)";"Комсомольский пр-т, д.5/2";"False";"Велосипед";"12";
"497";"POINT (37.69265 55.77983)";"ул. Бакунинская, д.73, стр.1";"False";"Велосипед";"12";
"340";"POINT (37.6083998 55.7187566)";"ул. Шаболовка, д.32";"False";"Велосипед";"24";
"512";"POINT (37.54216 55.79538)";"Ленинградский пр-т, д.39, стр.17";"False";"Велосипед";"15";
"523";"POINT (37.53124 55.80132)";"Ленинградский пр-т, д.62А (ст. м. Аэропорт, выход в город к ул. Черняховского)";"False";"Велосипед";"24";
"13";"POINT (37.6257601 55.7598405)";"Театральный пр-д, д.5, стр.1 (ст. м. Лубянка)";"False";"Велосипед";"14";
"416";"POINT (37.6023012 55.7924677)";"ул. Сущёвский Вал, д.16, стр.1";"False";"Велосипед";"12";
"487";"POINT (37.6779952 55.7921729)";"Сокольническая пл., д.7";"False";"Велосипед";"24";
"458";"POINT (37.6641747 55.7671544)";"ул. Старая Басманная, д.21/4, стр.1";"False";"Велосипед";"12";
"2";"POINT (37.5997037 55.7468663)";"Гоголевский б-р (напротив д.17, стр.1)";"False";"Велосипед";"14";
"246";"POINT (37.5622227 55.7490298)";"Кутузовский пр-т, д.7/4, стр.1";"False";"Велосипед";"12";
"128";"POINT (37.6429131 55.7703931)";"ул. Садовая-Спасская (напротив д.26)";"False";"Велосипед";"18";
"339";"POINT (37.5145855 55.6589469)";"ул. Обручева, д.16, к.1";"False";"Велосипед";"12";
"538";"POINT (37.589078 55.8218449)";"ул. Милашенкова, д.1 (ст. м. Фонвизинская)";"False";"Велосипед";"24";
"600";"POINT (37.6763299 55.717707)";"ул. Шарикоподшипниковская, д.24 (ст. м. Дубровка, выход №3)";"False";"Велосипед";"15";
"344";"POINT (37.564743 55.706876)";"ул. Косыгина, д.8, стр.2";"False";"Велосипед";"12";
"335";"POINT (37.539523 55.6565141)";"ул. Профсоюзная, д.82, к.1 (ст. м. Калужская)";"False";"Велосипед";"12";
"534";"POINT (37.603052 55.818213)";"ул. Дубовая Роща, д.21 (платформа ""Останкино"")";"True";"Велосипед";"12";
"152";"POINT (37.595854 55.736359)";"Турчанинов пер., д.3, стр. 1 (ст. м. Парк Культуры)";"False";"Велосипед";"12";
"428";"POINT (37.5841 55.79185)";"ул. Нижняя Масловка, д.5, к.1";"False";"Велосипед";"15";
"603";"POINT (37.657647 55.7082873)";"ул. Мастеркова, д.3 (ст. м. Автозаводская)";"False";"Велосипед";"15";
